|6.6.6
inf_a/graphite/build/PT_inf_graphite5_1.tab                                                         
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
  1346391312
           3
n,alqt.        node#          mu[O2],J/mol  
  46.8000        469.000       -438179.     
  46.9000        470.000       -438179.     
  47.0000        471.000       -438179.     
  47.1000        472.000       -438179.     
  47.2000        473.000       -438179.     
  47.3000        474.000       -438178.     
  47.4000        475.000       -438177.     
  47.5000        476.000       -438175.     
  47.6000        477.000       -438175.     
  47.7000        478.000       -438174.     
  47.8000        479.000       -438173.     
  47.9000        480.000       -438173.     
  48.0000        481.000       -438173.     
  48.1000        482.000       -438171.     
  48.2000        483.000       -438171.     
  48.3000        484.000       -438171.     
  48.4000        485.000       -438171.     
  48.5000        486.000       -438171.     
  48.6000        487.000       -438168.     
  48.7000        488.000       -438168.     
  48.8000        489.000       -438168.     
  48.9000        490.000       -438168.     
  49.0000        491.000       -438166.     
  49.1000        492.000       -438166.     
  49.2000        493.000       -438165.     
  49.3000        494.000       -438164.     
  49.4000        495.000       -438162.     
  49.5000        496.000       -438162.     
  49.6000        497.000       -438162.     
  49.7000        498.000       -438162.     
  49.8000        499.000       -438162.     
  49.9000        500.000       -438162.     
  50.0000        501.000       -438162.     
