|6.6.6
inf_a/PT_inf_graphite15_4.tab                                                                       
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
   760220304
           3
n,alqt.        node#          mu[O2],J/mol  
  15.7000        158.000       -376746.     
  15.8000        159.000       -376746.     
  15.9000        160.000       -383614.     
  16.0000        161.000       -383614.     
  16.1000        162.000       -383810.     
  16.2000        163.000       -383810.     
  16.3000        164.000       -384328.     
  16.4000        165.000       -384328.     
  16.5000        166.000       -384328.     
  16.6000        167.000       -376363.     
  16.7000        168.000       -376363.     
  16.8000        169.000       -370977.     
  16.9000        170.000       -375646.     
  17.0000        171.000       -385576.     
  17.1000        172.000       -385576.     
  17.2000        173.000       -385576.     
  17.3000        174.000       -385576.     
  17.4000        175.000       -385576.     
  17.5000        176.000       -385576.     
  17.6000        177.000       -385523.     
  17.7000        178.000       -385523.     
  17.8000        179.000       -385523.     
  17.9000        180.000       -385523.     
  18.0000        181.000       -385523.     
  18.1000        182.000       -385450.     
  18.2000        183.000       -385446.     
  18.3000        184.000       -385446.     
  18.4000        185.000       -385446.     
  18.5000        186.000       -385446.     
  18.6000        187.000       -385446.     
  18.7000        188.000       -385339.     
  18.8000        189.000       -385339.     
  18.9000        190.000       -385339.     
  19.0000        191.000       -385339.     
  19.1000        192.000       -385339.     
  19.2000        193.000       -380937.     
  19.3000        194.000       -385463.     
  19.4000        195.000       -385463.     
  19.5000        196.000       -387701.     
  19.6000        197.000       -388342.     
  19.7000        198.000       -390342.     
  19.8000        199.000       -397845.     
  19.9000        200.000       -385424.     
  20.0000        201.000       -383754.     
  20.1000        202.000       -380478.     
  20.2000        203.000       -380361.     
  20.3000        204.000       -380361.     
  20.4000        205.000       -380224.     
  20.5000        206.000       -380224.     
  20.6000        207.000       -380798.     
  20.7000        208.000       -380798.     
  20.8000        209.000       -376265.     
  20.9000        210.000       -376265.     
  21.0000        211.000       -376379.     
  21.1000        212.000       -376379.     
  21.2000        213.000       -379271.     
  21.3000        214.000       -376383.     
  21.4000        215.000       -376252.     
  21.5000        216.000       -376252.     
  21.6000        217.000       -376236.     
  21.7000        218.000       -376252.     
  21.8000        219.000       -376219.     
  21.9000        220.000       -376237.     
  22.0000        221.000       -376409.     
  22.1000        222.000       -376355.     
  22.2000        223.000       -376341.     
  22.3000        224.000       -376360.     
  22.4000        225.000       -376596.     
  22.5000        226.000       -411362.     
  22.6000        227.000       -376181.     
  22.7000        228.000       -376192.     
  22.8000        229.000       -376171.     
  22.9000        230.000       -376227.     
  23.0000        231.000       -376424.     
  23.1000        232.000       -376353.     
  23.2000        233.000       -376461.     
  23.3000        234.000       -376444.     
  23.4000        235.000       -376444.     
  23.5000        236.000       -376444.     
  23.6000        237.000       -376444.     
  23.7000        238.000       -376444.     
  23.8000        239.000       -376444.     
  23.9000        240.000       -376444.     
  24.0000        241.000       -376444.     
  24.1000        242.000       -376444.     
  24.2000        243.000       -376444.     
  24.3000        244.000       -376444.     
  24.4000        245.000       -376444.     
  24.5000        246.000       -376444.     
  24.6000        247.000       -376444.     
  24.7000        248.000       -376348.     
  24.8000        249.000       -376347.     
  24.9000        250.000       -376396.     
  25.0000        251.000       -376396.     
  25.1000        252.000       -376452.     
  25.2000        253.000       -376442.     
  25.3000        254.000       -376442.     
  25.4000        255.000       -376440.     
  25.5000        256.000       -376440.     
  25.6000        257.000       -376440.     
  25.7000        258.000       -376312.     
  25.8000        259.000       -376282.     
  25.9000        260.000       -376282.     
  26.0000        261.000       -376282.     
  26.1000        262.000       -376282.     
  26.2000        263.000       -376282.     
  26.3000        264.000       -376282.     
  26.4000        265.000       -376282.     
  26.5000        266.000       -376282.     
  26.6000        267.000       -376282.     
  26.7000        268.000       -376282.     
  26.8000        269.000       -376282.     
  26.9000        270.000       -376287.     
  27.0000        271.000       -376287.     
  27.1000        272.000       -376287.     
  27.2000        273.000       -376287.     
  27.3000        274.000       -376287.     
  27.4000        275.000       -376287.     
  27.5000        276.000       -376259.     
  27.6000        277.000       -376284.     
  27.7000        278.000       -376284.     
  27.8000        279.000       -376284.     
  27.9000        280.000       -438739.     
  28.0000        281.000       -438739.     
  28.1000        282.000       -438739.     
  28.2000        283.000       -438739.     
  28.3000        284.000       -438739.     
  28.4000        285.000       -438739.     
  28.5000        286.000       -438739.     
  28.6000        287.000       -438739.     
  28.7000        288.000       -438739.     
  28.8000        289.000       -438739.     
  28.9000        290.000       -438739.     
  29.0000        291.000       -438739.     
  29.1000        292.000       -438739.     
  29.2000        293.000       -438739.     
  29.3000        294.000       -438739.     
  29.4000        295.000       -438739.     
  29.5000        296.000       -438739.     
  29.6000        297.000       -438739.     
  29.7000        298.000       -438739.     
  29.8000        299.000       -438739.     
  29.9000        300.000       -438739.     
  30.0000        301.000       -438739.     
  30.1000        302.000       -438739.     
  30.2000        303.000       -438739.     
  30.3000        304.000       -438739.     
  30.4000        305.000       -438699.     
  30.5000        306.000       -438739.     
  30.6000        307.000       -438739.     
  30.7000        308.000       -438739.     
  30.8000        309.000       -438739.     
  30.9000        310.000       -438739.     
  31.0000        311.000       -438739.     
  31.1000        312.000       -438739.     
  31.2000        313.000       -438739.     
  31.3000        314.000       -438739.     
  31.4000        315.000       -438739.     
  31.5000        316.000       -438739.     
  31.6000        317.000       -438739.     
  31.7000        318.000       -418274.     
  31.8000        319.000       -424413.     
  31.9000        320.000       -424416.     
  32.0000        321.000       -424426.     
  32.1000        322.000       -417207.     
  32.2000        323.000       -438712.     
  32.3000        324.000       -438712.     
  32.4000        325.000       -432040.     
  32.5000        326.000       -431646.     
  32.6000        327.000       -431646.     
  32.7000        328.000       -424355.     
  32.8000        329.000       -424355.     
  32.9000        330.000       -424355.     
  33.0000        331.000       -424355.     
  33.1000        332.000       -424387.     
  33.2000        333.000       -424454.     
  33.3000        334.000       -386127.     
  33.4000        335.000       -386127.     
  33.5000        336.000       -386127.     
  33.6000        337.000       -386127.     
  33.7000        338.000       -386112.     
  33.8000        339.000       -386112.     
  33.9000        340.000       -386112.     
  34.0000        341.000       -386127.     
  34.1000        342.000       -438284.     
  34.2000        343.000       -386127.     
  34.3000        344.000       -386127.     
  34.4000        345.000       -386127.     
  34.5000        346.000       -386127.     
  34.6000        347.000       -386127.     
  34.7000        348.000       -386127.     
  34.8000        349.000       -386127.     
  34.9000        350.000       -386127.     
  35.0000        351.000       -386127.     
  35.1000        352.000       -386127.     
