|6.6.6
PT_inf_gloss16_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  11.0000        111.000       -359065.       -142124.       -76301.1     
  11.1000        112.000       -359065.       -142124.       -76301.1     
  11.2000        113.000       -359065.       -142124.       -76301.1     
  11.3000        114.000       -359065.       -142124.       -76301.1     
  11.4000        115.000       -359065.       -142124.       -76301.1     
  11.5000        116.000       -359065.       -142124.       -76301.1     
  11.6000        117.000       -359065.       -142124.       -76301.1     
  11.7000        118.000       -359065.       -142124.       -76301.1     
  11.8000        119.000       -359065.       -142124.       -76301.1     
  11.9000        120.000       -359065.       -142124.       -76301.1     
  12.0000        121.000       -359065.       -142124.       -76301.1     
  12.1000        122.000       -359065.       -142124.       -76301.1     
  12.2000        123.000       -359065.       -142124.       -76301.1     
  12.3000        124.000       -359065.       -142124.       -76301.1     
  12.4000        125.000       -359065.       -142124.       -76301.1     
  12.5000        126.000       -359065.       -142124.       -76301.1     
  12.6000        127.000       -359065.       -142124.       -76301.1     
  12.7000        128.000       -359065.       -142124.       -76301.1     
  12.8000        129.000       -359065.       -142124.       -76301.1     
  12.9000        130.000       -359065.       -142124.       -76301.1     
  13.0000        131.000       -359065.       -142124.       -76301.1     
  13.1000        132.000       -359065.       -142124.       -76301.1     
  13.2000        133.000       -359065.       -142124.       -76301.1     
  13.3000        134.000       -359065.       -142124.       -76301.1     
  13.4000        135.000       -359065.       -142124.       -76301.1     
  13.5000        136.000       -359065.       -142124.       -76301.1     
  13.6000        137.000       -359065.       -142124.       -76301.1     
  13.7000        138.000       -359318.       -140427.       -76045.6     
  13.8000        139.000       -359394.       -138440.       -75968.5     
  13.9000        140.000       -359394.       -138440.       -75968.5     
  14.0000        141.000       -359914.       -136153.       -75443.6     
  14.1000        142.000       -359914.       -136153.       -75443.6     
  14.2000        143.000       -359914.       -136154.       -75443.6     
  14.3000        144.000       -359914.       -136154.       -75443.6     
  14.4000        145.000       -359914.       -136154.       -75443.6     
  14.5000        146.000       -359914.       -136154.       -75443.6     
  14.6000        147.000       -359914.       -136154.       -75443.6     
  14.7000        148.000       -359914.       -136154.       -75443.6     
  14.8000        149.000       -359914.       -136154.       -75443.6     
  14.9000        150.000       -360114.       -135551.       -75240.9     
  15.0000        151.000       -360114.       -135551.       -75240.9     
  15.1000        152.000       -360114.       -135551.       -75240.9     
  15.2000        153.000       -360243.       -135164.       -75110.9     
  15.3000        154.000       -360243.       -135164.       -75110.9     
  15.4000        155.000       -360243.       -135164.       -75110.9     
  15.5000        156.000       -360423.       -134620.       -74928.5     
  15.6000        157.000       -360423.       -134620.       -74928.5     
  15.7000        158.000       -360423.       -134620.       -74928.5     
  15.8000        159.000       -360423.       -134620.       -74928.5     
  15.9000        160.000       -360423.       -134620.       -74928.5     
  16.0000        161.000       -360423.       -134620.       -74928.5     
  16.1000        162.000       -360423.       -134616.       -74928.5     
  16.2000        163.000       -360423.       -134616.       -74928.5     
