|6.6.6
PT_inf_gloss0_2.tab                                                                                 
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  0.00000        1.00000       -353463.       -172381.       -85825.4     
 0.100000        2.00000       -357746.       -157451.       -82590.5     
 0.200000        3.00000       -357190.       -161823.       -82054.6     
 0.300000        4.00000       -358471.       -143575.       -80760.4     
 0.400000        5.00000       -358471.       -142324.       -80760.4     
 0.500000        6.00000       -358288.       -158572.       -80951.8     
 0.600000        7.00000       -358288.       -158572.       -80951.8     
 0.700000        8.00000       -358288.       -158572.       -80951.8     
 0.800000        9.00000       -358288.       -158572.       -80951.8     
 0.900000        10.0000       -358288.       -158572.       -80951.8     
  1.00000        11.0000       -358288.       -158572.       -80951.8     
  1.10000        12.0000       -358288.       -158572.       -80951.8     
  1.20000        13.0000       -358288.       -158572.       -80951.8     
  1.30000        14.0000       -358288.       -158572.       -80951.8     
  1.40000        15.0000       -358288.       -158572.       -80951.8     
  1.50000        16.0000       -358288.       -158572.       -80951.8     
  1.60000        17.0000       -358288.       -158572.       -80951.8     
  1.70000        18.0000       -358288.       -158572.       -80951.8     
  1.80000        19.0000       -358288.       -158572.       -80951.8     
  1.90000        20.0000       -358288.       -158572.       -80951.8     
  2.00000        21.0000       -358288.       -158572.       -80951.8     
  2.10000        22.0000       -358288.       -158572.       -80951.8     
  2.20000        23.0000       -358288.       -158572.       -80951.8     
  2.30000        24.0000       -358288.       -158572.       -80951.8     
  2.40000        25.0000       -358288.       -158572.       -80951.8     
  2.50000        26.0000       -358288.       -158572.       -80951.8     
  2.60000        27.0000       -358288.       -158572.       -80951.8     
  2.70000        28.0000       -358288.       -158572.       -80951.8     
  2.80000        29.0000       -358288.       -158572.       -80951.8     
  2.90000        30.0000       -358288.       -158572.       -80951.8     
  3.00000        31.0000       -358288.       -158572.       -80951.8     
  3.10000        32.0000       -358288.       -158572.       -80951.8     
  3.20000        33.0000       -358288.       -158572.       -80951.8     
  3.30000        34.0000       -358288.       -158572.       -80951.8     
  3.40000        35.0000       -358288.       -158572.       -80951.8     
  3.50000        36.0000       -358288.       -158572.       -80951.8     
  3.60000        37.0000       -358288.       -158572.       -80951.8     
  3.70000        38.0000       -358288.       -158572.       -80951.8     
  3.80000        39.0000       -358288.       -158572.       -80951.8     
  3.90000        40.0000       -358288.       -158572.       -80951.8     
  4.00000        41.0000       -358288.       -158572.       -80951.8     
  4.10000        42.0000       -358288.       -158572.       -80951.8     
  4.20000        43.0000       -358288.       -158572.       -80951.8     
  4.30000        44.0000       -358288.       -158572.       -80951.8     
  4.40000        45.0000       -358288.       -158572.       -80951.8     
  4.50000        46.0000       -358288.       -158572.       -80951.8     
  4.60000        47.0000       -358288.       -158572.       -80951.8     
  4.70000        48.0000       -358288.       -158572.       -80951.8     
  4.80000        49.0000       -358288.       -158572.       -80951.8     
  4.90000        50.0000       -358288.       -158572.       -80951.8     
  5.00000        51.0000       -358288.       -158572.       -80951.8     
  5.10000        52.0000       -358288.       -158572.       -80951.8     
  5.20000        53.0000       -358288.       -158572.       -80951.8     
  5.30000        54.0000       -358288.       -158572.       -80951.8     
  5.40000        55.0000       -358288.       -158572.       -80951.8     
  5.50000        56.0000       -358288.       -158572.       -80951.8     
  5.60000        57.0000       -358288.       -158572.       -80951.8     
  5.70000        58.0000       -358288.       -158572.       -80951.8     
  5.80000        59.0000       -358288.       -158572.       -80951.8     
  5.90000        60.0000       -358288.       -158572.       -80951.8     
  6.00000        61.0000       -358288.       -158572.       -80951.8     
  6.10000        62.0000       -358195.       -137572.       -81049.5     
  6.20000        63.0000       -358208.       -158832.       -81036.0     
  6.30000        64.0000       -358208.       -158832.       -81036.0     
  6.40000        65.0000       -358208.       -158832.       -81036.0     
  6.50000        66.0000       -358208.       -158832.       -81036.0     
  6.60000        67.0000       -358208.       -158832.       -81036.0     
  6.70000        68.0000       -358208.       -158832.       -81036.0     
  6.80000        69.0000       -358208.       -158832.       -81036.0     
  6.90000        70.0000       -358208.       -158832.       -81036.0     
  7.00000        71.0000       -358208.       -158832.       -81036.0     
  7.10000        72.0000       -358208.       -158832.       -81036.0     
  7.20000        73.0000       -358208.       -158832.       -81036.0     
  7.30000        74.0000       -358208.       -158832.       -81036.1     
  7.40000        75.0000       -358208.       -158832.       -81036.1     
  7.50000        76.0000       -358208.       -158832.       -81036.1     
  7.60000        77.0000       -358208.       -158832.       -81036.1     
  7.70000        78.0000       -358208.       -158832.       -81036.1     
  7.80000        79.0000       -358208.       -158832.       -81036.1     
  7.90000        80.0000       -358208.       -158832.       -81036.1     
  8.00000        81.0000       -358208.       -158832.       -81036.1     
  8.10000        82.0000       -358208.       -158832.       -81036.1     
  8.20000        83.0000       -358208.       -158832.       -81036.1     
  8.30000        84.0000       -358208.       -158832.       -81036.1     
  8.40000        85.0000       -358208.       -158832.       -81036.1     
  8.50000        86.0000       -358208.       -158832.       -81036.1     
  8.60000        87.0000       -358208.       -158832.       -81036.1     
  8.70000        88.0000       -358208.       -158832.       -81036.1     
  8.80000        89.0000       -358208.       -158832.       -81036.1     
  8.90000        90.0000       -358208.       -158832.       -81036.1     
  9.00000        91.0000       -358208.       -158832.       -81036.1     
  9.10000        92.0000       -358208.       -158832.       -81036.1     
  9.20000        93.0000       -358208.       -158832.       -81036.1     
  9.30000        94.0000       -358208.       -158832.       -81036.1     
  9.40000        95.0000       -358208.       -158832.       -81036.1     
  9.50000        96.0000       -358208.       -158832.       -81036.1     
  9.60000        97.0000       -358208.       -158832.       -81036.1     
  9.70000        98.0000       -358208.       -158832.       -81036.1     
  9.80000        99.0000       -358208.       -158832.       -81036.1     
  9.90000        100.000       -358208.       -158832.       -81036.1     
  10.0000        101.000       -358208.       -158832.       -81036.1     
  10.1000        102.000       -358208.       -158832.       -81036.1     
  10.2000        103.000       -358288.       -158593.       -80955.3     
  10.3000        104.000       -358288.       -158593.       -80955.3     
  10.4000        105.000       -358288.       -158593.       -80955.3     
  10.5000        106.000       -358288.       -158593.       -80955.3     
  10.6000        107.000       -358288.       -158593.       -80955.3     
  10.7000        108.000       -358310.       -158528.       -80933.3     
  10.8000        109.000       -358310.       -158528.       -80933.3     
  10.9000        110.000       -358310.       -158528.       -80933.3     
  11.0000        111.000       -358427.       -158177.       -80814.8     
  11.1000        112.000       -358427.       -158177.       -80814.8     
  11.2000        113.000       -358427.       -158177.       -80814.8     
  11.3000        114.000       -358427.       -158177.       -80814.8     
  11.4000        115.000       -358427.       -158177.       -80814.8     
  11.5000        116.000       -358427.       -158177.       -80814.8     
  11.6000        117.000       -358427.       -158177.       -80814.8     
  11.7000        118.000       -358427.       -158177.       -80814.8     
  11.8000        119.000       -358427.       -158177.       -80814.8     
  11.9000        120.000       -358724.       -157290.       -80515.5     
  12.0000        121.000       -358724.       -157290.       -80515.5     
  12.1000        122.000       -358724.       -157290.       -80515.5     
  12.2000        123.000       -358724.       -157290.       -80515.5     
  12.3000        124.000       -358731.       -157268.       -80507.8     
  12.4000        125.000       -358731.       -157268.       -80507.8     
  12.5000        126.000       -358731.       -157268.       -80507.8     
  12.6000        127.000       -358982.       -156518.       -80254.9     
  12.7000        128.000       -358982.       -156518.       -80254.9     
  12.8000        129.000       -358982.       -156518.       -80254.9     
  12.9000        130.000       -358982.       -156518.       -80254.9     
  13.0000        131.000       -358982.       -156518.       -80254.9     
  13.1000        132.000       -358982.       -156518.       -80254.9     
  13.2000        133.000       -358982.       -156518.       -80254.9     
  13.3000        134.000       -358982.       -156518.       -80254.9     
  13.4000        135.000       -358982.       -156518.       -80254.9     
  13.5000        136.000       -359012.       -156428.       -80224.4     
  13.6000        137.000       -359012.       -156428.       -80224.4     
  13.7000        138.000       -359012.       -156428.       -80224.4     
  13.8000        139.000       -359153.       -156008.       -80082.6     
  13.9000        140.000       -359153.       -156008.       -80082.6     
  14.0000        141.000       -359153.       -156008.       -80082.6     
  14.1000        142.000       -359153.       -156008.       -80082.6     
  14.2000        143.000       -359511.       -154938.       -79720.9     
  14.3000        144.000       -359511.       -154938.       -79720.9     
  14.4000        145.000       -359526.       -154894.       -79706.1     
  14.5000        146.000       -359526.       -154894.       -79706.1     
  14.6000        147.000       -359526.       -154894.       -79706.1     
  14.7000        148.000       -359526.       -154894.       -79706.1     
  14.8000        149.000       -359526.       -154894.       -79706.1     
  14.9000        150.000       -359526.       -154894.       -79706.1     
  15.0000        151.000       -359526.       -154894.       -79706.1     
  15.1000        152.000       -359526.       -154894.       -79706.1     
  15.2000        153.000       -359526.       -154894.       -79706.1     
  15.3000        154.000       -359526.       -154894.       -79706.1     
  15.4000        155.000       -359575.       -154747.       -79656.5     
  15.5000        156.000       -359575.       -154747.       -79656.5     
  15.6000        157.000       -359697.       -154382.       -79533.3     
  15.7000        158.000       -359697.       -154382.       -79533.3     
