|6.6.6
PT_inf_gloss23_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  0.00000        1.00000       -358965.       -326392.       -76247.4     
 0.100000        2.00000       -358706.       -140232.       -76504.2     
 0.200000        3.00000       -358706.       -138830.       -76504.2     
 0.300000        4.00000       -358608.       -131175.       -76598.2     
 0.400000        5.00000       -358608.       -128510.       -76598.2     
 0.500000        6.00000       -358881.       -142077.       -76327.6     
 0.600000        7.00000       -358881.       -142077.       -76327.6     
 0.700000        8.00000       -358881.       -142077.       -76327.6     
 0.800000        9.00000       -358881.       -142077.       -76327.6     
 0.900000        10.0000       -358881.       -142077.       -76327.6     
  1.00000        11.0000       -358881.       -142077.       -76327.6     
  1.10000        12.0000       -358881.       -142077.       -76327.6     
  1.20000        13.0000       -358881.       -142077.       -76327.6     
  1.30000        14.0000       -358881.       -142077.       -76327.6     
  1.40000        15.0000       -358881.       -142077.       -76327.6     
  1.50000        16.0000       -358881.       -142077.       -76327.6     
  1.60000        17.0000       -358881.       -142077.       -76327.6     
  1.70000        18.0000       -358881.       -142077.       -76327.6     
  1.80000        19.0000       -358881.       -142077.       -76327.6     
  1.90000        20.0000       -358881.       -142077.       -76327.6     
  2.00000        21.0000       -358881.       -142077.       -76327.6     
  2.10000        22.0000       -358881.       -142077.       -76327.6     
  2.20000        23.0000       -358881.       -142077.       -76327.6     
  2.30000        24.0000       -358881.       -142077.       -76327.6     
  2.40000        25.0000       -358881.       -142077.       -76327.6     
  2.50000        26.0000       -358881.       -142077.       -76327.6     
  2.60000        27.0000       -358881.       -142077.       -76327.6     
  2.70000        28.0000       -358881.       -142077.       -76327.6     
  2.80000        29.0000       -358881.       -142077.       -76327.6     
  2.90000        30.0000       -358881.       -142077.       -76327.6     
  3.00000        31.0000       -358881.       -142077.       -76327.6     
  3.10000        32.0000       -358881.       -142077.       -76327.6     
  3.20000        33.0000       -358881.       -142077.       -76327.6     
  3.30000        34.0000       -358881.       -132106.       -76327.6     
  3.40000        35.0000       -358881.       -131960.       -76327.6     
  3.50000        36.0000       -358881.       -126946.       -76327.6     
  3.60000        37.0000       -358881.       -121784.       -76327.6     
  3.70000        38.0000       -358881.       -121784.       -76327.6     
