|6.6.6
PT_inf_gloss26_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  0.00000        1.00000       -358513.       -250423.       -71874.9     
 0.100000        2.00000       -358395.       -124330.       -71985.2     
 0.200000        3.00000       -358395.       -122959.       -71985.2     
 0.300000        4.00000       -358395.       -122255.       -71985.2     
 0.400000        5.00000       -358395.       -125984.       -71985.2     
 0.500000        6.00000       -358336.       -119547.       -72047.2     
 0.600000        7.00000       -358336.       -111894.       -72047.2     
 0.700000        8.00000       -358336.       -126157.       -72047.2     
 0.800000        9.00000       -358336.       -126157.       -72047.2     
 0.900000        10.0000       -358336.       -126157.       -72047.2     
  1.00000        11.0000       -358336.       -126157.       -72047.2     
  1.10000        12.0000       -358336.       -126157.       -72047.2     
  1.20000        13.0000       -358336.       -126157.       -72047.2     
  1.30000        14.0000       -358336.       -126157.       -72047.2     
  1.40000        15.0000       -358336.       -126157.       -72047.2     
  1.50000        16.0000       -358638.       -125268.       -71743.9     
  1.60000        17.0000       -358638.       -125268.       -71743.9     
  1.70000        18.0000       -358638.       -125268.       -71743.9     
  1.80000        19.0000       -358638.       -125268.       -71743.9     
  1.90000        20.0000       -358638.       -125268.       -71743.9     
  2.00000        21.0000       -358638.       -125268.       -71743.9     
  2.10000        22.0000       -358638.       -125268.       -71743.9     
  2.20000        23.0000       -358638.       -125268.       -71743.9     
  2.30000        24.0000       -358638.       -125268.       -71743.9     
  2.40000        25.0000       -358638.       -125268.       -71743.9     
  2.50000        26.0000       -358638.       -125268.       -71743.9     
  2.60000        27.0000       -358638.       -125268.       -71743.9     
  2.70000        28.0000       -358638.       -125268.       -71743.9     
  2.80000        29.0000       -358638.       -125268.       -71743.9     
  2.90000        30.0000       -358638.       -125268.       -71743.9     
  3.00000        31.0000       -358638.       -125268.       -71743.9     
  3.10000        32.0000       -358638.       -125268.       -71743.9     
  3.20000        33.0000       -358638.       -125268.       -71743.9     
  3.30000        34.0000       -358638.       -125268.       -71743.9     
  3.40000        35.0000       -358638.       -125268.       -71743.9     
  3.50000        36.0000       -358638.       -125268.       -71743.9     
  3.60000        37.0000       -358638.       -125268.       -71743.9     
  3.70000        38.0000       -358638.       -125268.       -71743.9     
  3.80000        39.0000       -358638.       -125268.       -71743.9     
  3.90000        40.0000       -358638.       -125268.       -71743.9     
  4.00000        41.0000       -358638.       -125268.       -71743.9     
  4.10000        42.0000       -358638.       -125268.       -71743.9     
  4.20000        43.0000       -358638.       -125268.       -71743.9     
  4.30000        44.0000       -358638.       -125268.       -71743.9     
  4.40000        45.0000       -358638.       -125268.       -71743.9     
  4.50000        46.0000       -358638.       -125268.       -71743.9     
  4.60000        47.0000       -358638.       -125268.       -71743.9     
  4.70000        48.0000       -358638.       -125268.       -71743.9     
  4.80000        49.0000       -358638.       -125268.       -71743.9     
  4.90000        50.0000       -358638.       -125268.       -71743.9     
  5.00000        51.0000       -358638.       -125268.       -71743.9     
  5.10000        52.0000       -358638.       -125268.       -71743.9     
  5.20000        53.0000       -358638.       -125268.       -71743.9     
  5.30000        54.0000       -358638.       -125268.       -71743.9     
  5.40000        55.0000       -358523.       -125634.       -71863.9     
  5.50000        56.0000       -358523.       -125634.       -71863.9     
  5.60000        57.0000       -358523.       -125634.       -71863.9     
  5.70000        58.0000       -358523.       -125634.       -71863.9     
  5.80000        59.0000       -358523.       -125634.       -71863.9     
  5.90000        60.0000       -358523.       -125634.       -71863.9     
  6.00000        61.0000       -358523.       -125634.       -71863.9     
  6.10000        62.0000       -358523.       -125634.       -71863.9     
  6.20000        63.0000       -358523.       -125634.       -71863.9     
  6.30000        64.0000       -358523.       -125634.       -71863.9     
  6.40000        65.0000       -358523.       -125634.       -71863.9     
  6.50000        66.0000       -358523.       -125634.       -71863.9     
