|6.6.6
PT_inf_gloss43_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  0.00000        1.00000       -359378.       -316549.       -74955.7     
 0.100000        2.00000       -359112.       -135942.       -75218.8     
 0.200000        3.00000       -359112.       -138199.       -75218.8     
 0.300000        4.00000       -359112.       -138199.       -75218.8     
 0.400000        5.00000       -359045.       -125346.       -75283.5     
 0.500000        6.00000       -359045.       -126330.       -75283.5     
 0.600000        7.00000       -359357.       -137479.       -74971.9     
 0.700000        8.00000       -359357.       -137479.       -74971.9     
 0.800000        9.00000       -359357.       -137479.       -74971.9     
 0.900000        10.0000       -359357.       -137479.       -74971.9     
  1.00000        11.0000       -359357.       -137479.       -74971.9     
  1.10000        12.0000       -359357.       -137479.       -74971.9     
  1.20000        13.0000       -359357.       -137479.       -74971.9     
  1.30000        14.0000       -359357.       -137479.       -74971.9     
  1.40000        15.0000       -359357.       -137479.       -74971.9     
  1.50000        16.0000       -359357.       -137479.       -74971.9     
  1.60000        17.0000       -359357.       -137479.       -74971.9     
  1.70000        18.0000       -359357.       -137479.       -74971.9     
  1.80000        19.0000       -359357.       -137479.       -74971.9     
  1.90000        20.0000       -359357.       -137479.       -74971.9     
  2.00000        21.0000       -359357.       -137479.       -74971.9     
  2.10000        22.0000       -359357.       -137479.       -74971.9     
  2.20000        23.0000       -359357.       -137479.       -74971.9     
  2.30000        24.0000       -359357.       -137479.       -74971.9     
  2.40000        25.0000       -359357.       -137479.       -74971.9     
  2.50000        26.0000       -359357.       -137479.       -74971.9     
  2.60000        27.0000       -359357.       -137479.       -74971.9     
  2.70000        28.0000       -359357.       -137479.       -74971.9     
  2.80000        29.0000       -359357.       -137479.       -74971.9     
  2.90000        30.0000       -359357.       -137479.       -74971.9     
  3.00000        31.0000       -359357.       -137479.       -74971.9     
  3.10000        32.0000       -359357.       -137479.       -74971.9     
  3.20000        33.0000       -359357.       -137479.       -74971.9     
  3.30000        34.0000       -359357.       -137479.       -74971.9     
  3.40000        35.0000       -359357.       -137479.       -74971.9     
  3.50000        36.0000       -359357.       -137479.       -74971.9     
  3.60000        37.0000       -359357.       -137479.       -74971.9     
  3.70000        38.0000       -359357.       -137479.       -74971.9     
  3.80000        39.0000       -359357.       -137479.       -74971.9     
  3.90000        40.0000       -359357.       -137479.       -74971.9     
  4.00000        41.0000       -359357.       -137479.       -74971.9     
  4.10000        42.0000       -359357.       -137479.       -74971.9     
  4.20000        43.0000       -359357.       -137479.       -74971.9     
  4.30000        44.0000       -359357.       -137479.       -74971.9     
  4.40000        45.0000       -359357.       -137479.       -74971.9     
  4.50000        46.0000       -359357.       -137479.       -74971.9     
  4.60000        47.0000       -359357.       -137479.       -74971.9     
  4.70000        48.0000       -359357.       -137479.       -74971.9     
  4.80000        49.0000       -359357.       -137479.       -74971.9     
  4.90000        50.0000       -359357.       -137479.       -74971.9     
  5.00000        51.0000       -359357.       -137479.       -74971.9     
  5.10000        52.0000       -359357.       -137479.       -74971.9     
  5.20000        53.0000       -359357.       -137479.       -74971.9     
  5.30000        54.0000       -359357.       -137479.       -74971.9     
  5.40000        55.0000       -359357.       -137479.       -74971.9     
  5.50000        56.0000       -359357.       -137479.       -74971.9     
  5.60000        57.0000       -359357.       -137479.       -74971.9     
  5.70000        58.0000       -359357.       -137479.       -74971.9     
  5.80000        59.0000       -359222.       -137907.       -75112.6     
  5.90000        60.0000       -359228.       -137891.       -75107.3     
  6.00000        61.0000       -359228.       -137891.       -75107.3     
  6.10000        62.0000       -359228.       -137891.       -75107.3     
  6.20000        63.0000       -359228.       -137891.       -75107.3     
  6.30000        64.0000       -359228.       -137891.       -75107.3     
  6.40000        65.0000       -359228.       -137891.       -75107.3     
  6.50000        66.0000       -359228.       -137891.       -75107.3     
  6.60000        67.0000       -359228.       -137891.       -75107.3     
  6.70000        68.0000       -359228.       -137891.       -75107.3     
  6.80000        69.0000       -359228.       -137891.       -75107.3     
  6.90000        70.0000       -359228.       -137891.       -75107.3     
  7.00000        71.0000       -359228.       -137891.       -75107.3     
  7.10000        72.0000       -359228.       -137891.       -75107.3     
  7.20000        73.0000       -359228.       -137891.       -75107.3     
  7.30000        74.0000       -359228.       -137891.       -75107.3     
  7.40000        75.0000       -359228.       -137891.       -75107.3     
  7.50000        76.0000       -359228.       -137891.       -75107.3     
  7.60000        77.0000       -359228.       -137891.       -75107.3     
  7.70000        78.0000       -359228.       -137891.       -75107.3     
  7.80000        79.0000       -359228.       -137891.       -75107.3     
  7.90000        80.0000       -359228.       -137891.       -75107.3     
  8.00000        81.0000       -359228.       -137891.       -75107.3     
  8.10000        82.0000       -359228.       -137891.       -75107.3     
  8.20000        83.0000       -359228.       -137891.       -75107.3     
  8.30000        84.0000       -359228.       -137891.       -75107.3     
  8.40000        85.0000       -359228.       -137891.       -75107.3     
  8.50000        86.0000       -359228.       -137891.       -75107.3     
  8.60000        87.0000       -359228.       -137891.       -75107.3     
  8.70000        88.0000       -359228.       -137891.       -75107.3     
  8.80000        89.0000       -359228.       -137891.       -75107.3     
  8.90000        90.0000       -359228.       -137891.       -75107.3     
  9.00000        91.0000       -359228.       -137891.       -75107.3     
  9.10000        92.0000       -359228.       -137891.       -75107.3     
  9.20000        93.0000       -359228.       -137891.       -75107.3     
  9.30000        94.0000       -359228.       -137891.       -75107.3     
  9.40000        95.0000       -359228.       -137891.       -75107.3     
  9.50000        96.0000       -359228.       -137891.       -75107.3     
  9.60000        97.0000       -359228.       -137891.       -75107.3     
  9.70000        98.0000       -359228.       -137891.       -75107.3     
  9.80000        99.0000       -359228.       -137891.       -75107.3     
  9.90000        100.000       -359228.       -137891.       -75107.3     
  10.0000        101.000       -359228.       -137891.       -75107.3     
  10.1000        102.000       -359228.       -137891.       -75107.3     
  10.2000        103.000       -359228.       -137891.       -75107.3     
  10.3000        104.000       -359228.       -137891.       -75107.3     
  10.4000        105.000       -359228.       -137891.       -75107.3     
  10.5000        106.000       -359228.       -137891.       -75107.3     
  10.6000        107.000       -359228.       -137891.       -75107.3     
  10.7000        108.000       -359228.       -137891.       -75107.3     
  10.8000        109.000       -359228.       -137891.       -75107.3     
  10.9000        110.000       -359228.       -137891.       -75107.3     
  11.0000        111.000       -359228.       -137891.       -75107.3     
  11.1000        112.000       -359228.       -137891.       -75107.3     
  11.2000        113.000       -359228.       -137891.       -75107.3     
  11.3000        114.000       -359228.       -137891.       -75107.3     
  11.4000        115.000       -359228.       -137891.       -75107.3     
  11.5000        116.000       -359228.       -137891.       -75107.3     
  11.6000        117.000       -359228.       -137891.       -75107.3     
  11.7000        118.000       -359228.       -137891.       -75107.3     
  11.8000        119.000       -359228.       -137891.       -75107.3     
  11.9000        120.000       -359228.       -137891.       -75107.3     
  12.0000        121.000       -359228.       -137891.       -75107.3     
  12.1000        122.000       -359228.       -137891.       -75107.3     
  12.2000        123.000       -359228.       -137891.       -75107.3     
  12.3000        124.000       -359228.       -137891.       -75107.3     
  12.4000        125.000       -359228.       -137891.       -75107.3     
  12.5000        126.000       -359228.       -137891.       -75107.3     
  12.6000        127.000       -359228.       -137891.       -75107.3     
  12.7000        128.000       -359228.       -137891.       -75107.3     
  12.8000        129.000       -359228.       -137891.       -75107.3     
  12.9000        130.000       -359228.       -137891.       -75107.3     
  13.0000        131.000       -359228.       -137891.       -75107.3     
  13.1000        132.000       -359228.       -137891.       -75107.3     
  13.2000        133.000       -359228.       -137891.       -75107.3     
  13.3000        134.000       -359228.       -137891.       -75107.3     
  13.4000        135.000       -359228.       -137891.       -75107.3     
  13.5000        136.000       -359228.       -137891.       -75107.3     
  13.6000        137.000       -359228.       -137891.       -75107.3     
  13.7000        138.000       -359228.       -137891.       -75107.3     
  13.8000        139.000       -359228.       -137891.       -75107.3     
  13.9000        140.000       -359228.       -137891.       -75107.3     
  14.0000        141.000       -359228.       -137891.       -75107.3     
  14.1000        142.000       -359228.       -137891.       -75107.3     
  14.2000        143.000       -359222.       -137907.       -75112.6     
  14.3000        144.000       -359222.       -137907.       -75112.6     
  14.4000        145.000       -359222.       -137907.       -75112.6     
  14.5000        146.000       -359222.       -137907.       -75112.6     
  14.6000        147.000       -359222.       -137907.       -75112.6     
  14.7000        148.000       -359222.       -137907.       -75112.6     
  14.8000        149.000       -359222.       -137907.       -75112.6     
  14.9000        150.000       -359222.       -137907.       -75112.6     
  15.0000        151.000       -359222.       -137907.       -75112.6     
  15.1000        152.000       -359222.       -137907.       -75112.6     
  15.2000        153.000       -359222.       -137907.       -75112.6     
  15.3000        154.000       -359222.       -137907.       -75112.6     
  15.4000        155.000       -359222.       -137907.       -75112.6     
  15.5000        156.000       -359222.       -137907.       -75112.6     
  15.6000        157.000       -359222.       -137907.       -75112.6     
  15.7000        158.000       -359222.       -137907.       -75112.6     
  15.8000        159.000       -359222.       -137907.       -75112.6     
  15.9000        160.000       -359222.       -137907.       -75112.6     
  16.0000        161.000       -359222.       -137907.       -75112.6     
  16.1000        162.000       -359222.       -137907.       -75112.6     
  16.2000        163.000       -359222.       -137907.       -75112.6     
  16.3000        164.000       -359222.       -137907.       -75112.6     
  16.4000        165.000       -359232.       -137878.       -75102.7     
  16.5000        166.000       -359232.       -137878.       -75102.7     
  16.6000        167.000       -359232.       -137878.       -75102.7     
  16.7000        168.000       -359232.       -137878.       -75102.7     
  16.8000        169.000       -359447.       -136683.       -74885.8     
  16.9000        170.000       -359451.       -136670.       -74881.7     
  17.0000        171.000       -359751.       -133972.       -74578.5     
  17.1000        172.000       -360162.       -131802.       -74163.1     
  17.2000        173.000       -360234.       -131584.       -74089.8     
  17.3000        174.000       -360234.       -131584.       -74089.8     
  17.4000        175.000       -360234.       -131584.       -74089.8     
  17.5000        176.000       -360260.       -132053.       -74064.2     
  17.6000        177.000       -360260.       -131510.       -74064.2     
  17.7000        178.000       -360260.       -131510.       -74064.2     
  17.8000        179.000       -360260.       -131510.       -74064.2     
  17.9000        180.000       -360260.       -131510.       -74064.2     
  18.0000        181.000       -360260.       -131510.       -74064.2     
  18.1000        182.000       -360260.       -131510.       -74064.2     
  18.2000        183.000       -360260.       -131510.       -74064.2     
  18.3000        184.000       -360260.       -131510.       -74064.2     
  18.4000        185.000       -360260.       -131510.       -74064.2     
  18.5000        186.000       -360618.       -130432.       -73702.5     
  18.6000        187.000       -360618.       -130432.       -73702.5     
  18.7000        188.000       -360685.       -130230.       -73633.8     
  18.8000        189.000       -360685.       -130230.       -73633.8     
  18.9000        190.000       -360685.       -130230.       -73633.8     
  19.0000        191.000       -360685.       -130230.       -73633.8     
  19.1000        192.000       -360759.       -130009.       -73559.6     
  19.2000        193.000       -360759.       -130009.       -73559.6     
  19.3000        194.000       -360524.       -43767.8       -73796.0     
  19.4000        195.000       -360759.       -128570.       -73559.6     
  19.5000        196.000       -360759.       -128570.       -73559.6     
  19.6000        197.000       -360759.       -128570.       -73559.6     
  19.7000        198.000       -360759.       -128571.       -73559.6     
  19.8000        199.000       -360759.       -128571.       -73559.6     
  19.9000        200.000       -360860.       -128265.       -73457.1     
  20.0000        201.000       -360860.       -128373.       -73457.1     
  20.1000        202.000       -361249.       -126108.       -73063.9     
  20.2000        203.000       -361732.       -123593.       -72575.9     
  20.3000        204.000       -362207.       -120987.       -72095.8     
  20.4000        205.000       -371028.       -91535.8       -63156.8     
  20.5000        206.000       -371025.       -90088.5       -63159.3     
  20.6000        207.000       -371021.       -87818.4       -63268.2     
  20.7000        208.000       -371491.       -82326.2       -62795.5     
  20.8000        209.000       -371491.       -82326.2       -62795.5     
  20.9000        210.000       -371491.       -82326.2       -62795.5     
  21.0000        211.000       -371491.       -82326.2       -62795.5     
  21.1000        212.000       -371491.       -82326.2       -62795.5     
  21.2000        213.000       -371491.       -82326.2       -62795.5     
  21.3000        214.000       -371491.       -82326.2       -62795.5     
  21.4000        215.000       -371491.       -82326.2       -62795.5     
  21.5000        216.000       -371491.       -81195.5       -62784.1     
  21.6000        217.000       -362906.       -45554.5       -71420.7     
