Name,Lon (°),Lat (°),H (km),Arc-trench distance (km),Length (km),Slab dip (°),Vc (km/Ma),Age (Ma),Descent rate (km/Ma),Thermal parameter/100 (km),Sediment thickness (km),Subducted sediment thickness (km),Upper plate type,Upper plate thickness (km),Upper plate age (Ma),φ (km) calculated,Serpentine dehydration Slab Surface T (ºC),Serpentine dehydration Slab Surface P (GPa),Serpentine dehydration Moho depth T (ºC),Serpentine dehydration Moho depth P (GPa)
South Vanuatu,169.83,-20.2,94,104,850,66.8,112.7,50,103.6,51.8,0.4,0.2,Oceanic,,5,5179,654,2.70,499,5.67
Java,111.76,-7.81,168,307,605,45.8,67.8,111.2,48.6,54,1.2,0.3,Continental,33.5,,5405,648,3.02,481,5.81
Kamchatka,159.15,53.59,111,227,530,50.7,75.1,92.9,58.2,54.1,0.6,0.3,Continental,40,,5399,648,3.01,493,5.72
Kermadec,-178.47,-30.2,171,166,1545,56.1,64.6,105.6,53.5,56.6,0.4,0.2,Oceanic,,25,5662,649,2.99,465,5.94
Hokkaido,147,44.62,116,217,450,41.9,74.7,115.2,49.7,57.2,0.6,0.3,Continental,25,,5747,648,3.04,488,5.75
Calabria,15,38.45,,,625,43,45,190,30.7,58.3,5,1,Oceanic,,20,5831,648,3.00,549,5.28
West Banda Sea,121.83,-8.76,126,290,780,54.4,73.6,100,59.8,59.8,0.4,0.2,Continental,33.5,,5984,651,2.88,479,5.83
Central Honshu,140.28,37.62,104,289,530,33.9,82.7,130.5,46.3,60.4,0.6,0.3,Continental,40,,6019,650,2.93,491,5.74
South Kurile,151.75,46.83,100,185,510,46.4,77.4,108.5,56,60.7,0.6,0.3,Continental,25,,6082,649,2.96,481,5.81
South Marianas,145.83,17.6,169,273,500,56.9,50,151.6,41.9,63.5,0.4,0.2,Oceanic,,25,6350,653,2.77,520,5.50
North Kurile,155.43,50.25,106,219,570,50.4,78.3,105.6,60.2,63.6,0.6,0.3,Continental,45,,6371,647,3.04,482,5.80
Bali/Lombok,116.47,-8.42,186,327,640,45.9,69.8,134.9,50.1,67.7,1.2,0.3,Continental,33.5,,6762,649,2.98,489,5.75
Tonga,-174.87,-19.18,123,196,1110,52.4,165.8,109,131.3,143.2,0.4,0.2,Oceanic,,10,14318,643,3.26,489,5.75
