|6.6.6
inf_a/gloss/build/PT_inf_gloss0_1.tab                                                               
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
 -1093655392
           3
n,alqt.        node#          mu[O2],J/mol  
  18.7000        188.000       -385671.     
  18.8000        189.000       -381706.     
  18.9000        190.000       -385843.     
  19.0000        191.000       -382225.     
  19.1000        192.000       -383002.     
  19.2000        193.000       -386111.     
  19.3000        194.000       -383438.     
  19.4000        195.000       -376795.     
  19.5000        196.000       -383565.     
  19.6000        197.000       -386664.     
  19.7000        198.000       -383535.     
  19.8000        199.000       -386920.     
  19.9000        200.000       -386885.     
  20.0000        201.000       -377662.     
  20.1000        202.000       -384242.     
  20.2000        203.000       -387172.     
  20.3000        204.000       -385390.     
  20.4000        205.000       -387421.     
  20.5000        206.000       -385061.     
  20.6000        207.000       -378837.     
  20.7000        208.000       -391960.     
  20.8000        209.000       -392050.     
  20.9000        210.000       -392546.     
  21.0000        211.000       -386084.     
  21.1000        212.000       -388037.     
  21.2000        213.000       -388148.     
  21.3000        214.000       -388114.     
  21.4000        215.000       -379858.     
  21.5000        216.000       -358935.     
  21.6000        217.000       -359465.     
  21.7000        218.000       -362272.     
  21.8000        219.000       -359222.     
  21.9000        220.000       -359373.     
  22.0000        221.000       -359439.     
  22.1000        222.000       -359646.     
  22.2000        223.000       -360260.     
  22.3000        224.000       -359874.     
  22.4000        225.000       -359904.     
  22.5000        226.000       -360064.     
  22.6000        227.000       -360162.     
  22.7000        228.000       -360280.     
  22.8000        229.000       -360417.     
  22.9000        230.000       -360484.     
  23.0000        231.000       -361635.     
  23.1000        232.000       -360684.     
  23.2000        233.000       -360883.     
  23.3000        234.000       -361079.     
  23.4000        235.000       -361113.     
  23.5000        236.000       -361266.     
  23.6000        237.000       -362621.     
  23.7000        238.000       -361463.     
  23.8000        239.000       -362640.     
  23.9000        240.000       -363280.     
  24.0000        241.000       -363562.     
  24.1000        242.000       -361993.     
  24.2000        243.000       -364021.     
  24.3000        244.000       -362204.     
  24.4000        245.000       -360274.     
  24.5000        246.000       -363560.     
  24.6000        247.000       -364820.     
  24.7000        248.000       -363404.     
  24.8000        249.000       -365199.     
  24.9000        250.000       -362961.     
  25.0000        251.000       -363079.     
  25.1000        252.000       -364898.     
  25.2000        253.000       -363187.     
  25.3000        254.000       -366353.     
  25.4000        255.000       -366624.     
  25.5000        256.000       -364257.     
  25.6000        257.000       -363749.     
  25.7000        258.000       -366724.     
  25.8000        259.000       -367364.     
  25.9000        260.000       -365242.     
  26.0000        261.000       -364896.     
  26.1000        262.000       -368088.     
  26.2000        263.000       -368146.     
  26.3000        264.000       -368502.     
  26.4000        265.000       -364688.     
  26.5000        266.000       -369086.     
  26.6000        267.000       -364928.     
  26.7000        268.000       -369550.     
  26.8000        269.000       -372346.     
  26.9000        270.000       -370136.     
  27.0000        271.000       -370341.     
  27.1000        272.000       -370593.     
  27.2000        273.000       -370868.     
  27.3000        274.000       -372053.     
  27.4000        275.000       -371406.     
  27.5000        276.000       -371785.     
  27.6000        277.000       -371955.     
  27.7000        278.000       -371877.     
  27.8000        279.000       -370045.     
  27.9000        280.000       -380354.     
  28.0000        281.000       -380784.     
  28.1000        282.000       -370312.     
  28.2000        283.000       -381031.     
