|6.6.6
PT_inf_gloss32_1.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.256505E-002  0.203606E-004  0.102894E-006  0.322451E-003  0.922014E-002  0.145286E-002   0.00000        0.00000       0.985291       0.248709E-002  0.639133E-003  0.505111       0.234771E-002   0.00000        0.00000        0.00000       0.983996       0.403398E-015  0.136256E-003  0.822027E-003  0.689764E-002  0.358621E-004  0.462252E-001  0.168256E-002  0.333822E-002  0.420636E-004  0.144124E-001  0.885272E-002  0.497594E-006  0.271362E-005  0.567337E-011  0.656089E-009  0.354929E-013  0.281709E-009  0.407236E-009  0.393101E-005  0.183865E-005  0.222791E-014  0.711400E-023  0.778456E-018  0.510879E-030  0.258646E-003  0.167222E-001  0.153349E-005  0.111519E-005  0.160148E-013  0.331017E-003  0.615769E-004  0.183686E-003  0.560496E-003  0.199141E-010  0.770788E-003  0.183619E-017  0.125084E-005  0.175766E-002  0.149930E-002  0.557530E-001  0.178787E-015  0.128647E-040   0.00000        0.00000        0.00000       0.191525E-004  0.129491E-003  0.503042E-003  0.131035E-010  0.513824       0.231756E-002  0.337804E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.167727E-017  0.103712E-001  0.380258E-013  0.546824E-009  0.109611E-014  0.608741E-014  0.595939E-014  0.349597E-026  0.311745E-012  0.235506E-016  0.370894E-018  0.123743E-019  0.179713E-016  0.545714E-023  0.146131E-025  0.346471E-002  0.127095E-004  0.712419E-001  0.716798E-004  0.624057E-008  0.517847E-002  0.944359        3.62021      -0.275352E-002   20.8395       0.910598E-001 -0.822169E-002  0.767828     
 0.100000        2.00000       0.787270E-005  0.319377E-006  0.106196E-008  0.696529E-006  0.379101E-004  0.533081E-005  0.453942E-004  0.855660E-005  0.996552       0.333897E-002  0.167699E-004  0.501709       0.332931E-002   0.00000        0.00000        0.00000       0.996533       0.130280E-018  0.240251E-005  0.145088E-004  0.145817E-003  0.644255E-006  0.529291E-004  0.192493E-005  0.164800E-005  0.280552E-005  0.528689E-004  0.358990E-004  0.317429E-007  0.542626E-005  0.340456E-014  0.911371E-012  0.138378E-016  0.184025E-012  0.613220E-012  0.191186E-007  0.395541E-007  0.370820E-015  0.180695E-023  0.162653E-018  0.615873E-028  0.476404E-005  0.195299E-004  0.178688E-008  0.560864E-009  0.523974E-017  0.123804E-005  0.781458E-007  0.734873E-006  0.185377E-003  0.543469E-012  0.129501E-004  0.386204E-019  0.130027E-007  0.314293E-004  0.253343E-004  0.110651E-002  0.417797E-017  0.757982E-039  0.237331E-002  0.783249E-004  0.564757E-004  0.448581E-006  0.164112E-006  0.275455E-006  0.982590E-012  0.208925E-002  0.293902E-005  0.152159E-005  0.273672E-015  0.140667E-026  0.279185E-003  0.483490E-007  0.188350E-003  0.133234E-006  0.505037E-005  0.941220E-020  0.185436E-003  0.164785E-014  0.384725E-010  0.906661E-016  0.591792E-015  0.681050E-015  0.553155E-027  0.162802E-014  0.696464E-018  0.289086E-019  0.249737E-021  0.957844E-018  0.751603E-025  0.529864E-027  0.140318E-004  0.511515E-007  0.288069E-003  0.273979E-006  0.642433E-009  0.627099E-003  0.579833E-002  0.166551E-001 -0.533453E-005  0.842280E-001  0.352003E-002 -0.208247E-003  0.789537E-002
 0.200000        3.00000       0.159906E-004  0.686335E-006  0.225411E-008  0.140527E-005  0.780928E-004  0.974490E-005  0.888026E-004  0.557588E-004  0.996398       0.336411E-002  0.398606E-004  0.501779       0.332870E-002   0.00000        0.00000        0.00000       0.996349       0.215867E-018  0.517325E-005  0.312412E-004  0.258683E-003  0.114292E-005  0.938976E-004  0.341487E-005  0.271873E-005  0.527616E-005  0.994272E-004  0.739675E-004  0.654043E-007  0.120373E-004  0.615353E-014  0.177137E-011  0.229284E-016  0.332615E-012  0.119187E-011  0.393926E-007  0.851705E-007  0.822610E-015  0.400845E-023  0.316138E-018  0.126897E-027  0.925955E-005  0.379589E-004  0.347305E-008  0.101373E-008  0.868194E-017  0.255090E-005  0.151887E-006  0.151416E-005  0.399165E-003  0.117023E-011  0.278851E-004  0.831599E-019  0.306751E-007  0.676757E-004  0.597669E-004  0.261041E-002  0.985638E-017  0.156177E-038  0.461284E-002  0.161383E-003  0.133234E-003  0.871878E-006  0.318973E-006  0.497868E-006  0.202456E-011  0.430477E-002  0.571238E-005  0.343489E-005  0.184549E-014  0.991322E-026  0.177595E-002  0.340728E-006  0.127013E-002  0.898456E-006  0.340569E-004  0.193932E-019  0.399293E-003  0.438789E-014  0.102445E-009  0.241426E-015  0.157583E-014  0.181350E-014  0.147294E-026  0.461021E-014  0.203185E-017  0.843377E-019  0.798237E-021  0.306156E-017  0.263203E-024  0.185553E-026  0.289117E-004  0.105394E-006  0.593548E-003  0.618488E-006  0.156139E-008  0.152413E-002  0.121045E-001  0.344742E-001 -0.109930E-004  0.173546       0.834602E-002 -0.492300E-003  0.186546E-001
 0.300000        4.00000       0.251169E-004  0.115858E-005  0.374286E-008  0.217142E-005  0.124327E-003  0.134899E-004  0.130664E-003  0.176754E-003  0.996175       0.342365E-002  0.748167E-004  0.501907       0.332776E-002   0.00000        0.00000        0.00000       0.996070       0.241273E-018  0.875608E-005  0.528779E-004  0.342636E-003  0.151385E-005  0.124371E-003  0.452315E-005  0.320013E-005  0.764242E-005  0.144018E-003  0.117803E-003  0.104165E-006  0.210420E-004  0.796398E-014  0.257976E-011  0.256269E-016  0.430474E-012  0.173581E-011  0.627382E-007  0.144157E-006  0.143797E-014  0.700703E-023  0.460412E-018  0.202100E-027  0.134853E-004  0.552821E-004  0.505803E-008  0.131198E-008  0.970376E-017  0.406266E-005  0.221203E-006  0.241151E-005  0.675615E-003  0.198070E-011  0.471974E-004  0.140754E-018  0.570868E-007  0.114546E-003  0.111227E-003  0.485802E-002  0.183429E-016  0.248734E-038  0.671798E-002  0.257025E-003  0.247950E-003  0.126977E-005  0.464541E-006  0.644347E-006  0.322440E-011  0.685594E-002  0.831932E-005  0.601497E-005  0.615541E-014  0.351389E-025  0.541661E-002  0.120776E-005  0.423636E-002  0.299669E-005  0.113593E-003  0.308864E-019  0.675831E-003  0.927302E-014  0.216498E-009  0.510211E-015  0.333023E-014  0.383252E-014  0.311280E-026  0.103724E-013  0.472131E-017  0.195971E-018  0.203942E-020  0.782198E-017  0.739383E-024  0.521249E-026  0.460459E-004  0.167855E-006  0.945307E-003  0.108306E-005  0.300105E-008  0.292943E-002  0.196458E-001  0.552728E-001 -0.175087E-004  0.276396       0.156487E-001 -0.916814E-003  0.351751E-001
 0.400000        5.00000       0.280186E-004  0.115156E-005  0.287781E-008  0.285067E-005  0.131898E-003  0.192715E-004  0.156192E-003  0.323259E-004  0.995810       0.381173E-002  0.580245E-004  0.502043       0.377603E-002   0.00000        0.00000        0.00000       0.995744       0.436396E-018  0.864535E-005  0.523665E-004  0.527226E-003  0.297795E-005  0.191234E-003  0.693391E-005  0.583237E-005  0.103296E-004  0.193931E-003  0.126013E-003  0.142981E-006  0.198532E-004  0.993606E-014  0.270722E-011  0.351083E-016  0.475000E-012  0.161104E-011  0.511474E-007  0.107805E-006  0.712693E-015  0.183114E-023  0.170599E-017  0.177016E-026  0.238264E-004  0.763472E-004  0.696438E-008  0.214768E-008  0.174426E-016  0.491364E-005  0.269374E-006  0.259563E-005  0.665420E-003  0.102477E-011  0.523629E-004  0.108034E-018  0.118855E-006  0.112734E-003  0.110836E-003  0.378668E-002  0.111840E-016  0.657942E-037  0.816041E-002  0.274243E-003  0.192784E-003  0.153806E-005  0.562279E-006  0.924446E-006  0.343073E-011  0.726741E-002  0.100394E-004  0.506495E-005  0.280713E-014  0.395581E-025  0.104500E-002  0.188453E-006  0.720602E-003  0.509360E-006  0.192498E-004  0.202155E-019  0.663145E-003  0.306965E-013  0.343013E-009  0.632317E-015  0.322841E-014  0.290622E-014  0.144429E-026  0.526150E-013  0.259400E-016  0.246647E-018  0.185975E-019  0.163396E-016  0.111907E-022  0.180722E-025  0.495522E-004  0.181181E-006  0.101423E-002  0.117655E-005  0.286476E-008  0.218739E-002  0.204496E-001  0.585594E-001 -0.187909E-004  0.295658       0.122739E-001 -0.719353E-003  0.275960E-001
 0.500000        6.00000       0.352131E-004  0.150614E-005  0.373132E-008  0.356664E-005  0.167408E-003  0.225777E-004  0.191358E-003  0.962236E-004  0.995659       0.384176E-002  0.811827E-004  0.502118       0.377394E-002   0.00000        0.00000        0.00000       0.995560       0.479251E-018  0.113238E-004  0.685904E-004  0.605710E-003  0.342126E-005  0.219701E-003  0.796610E-005  0.638452E-005  0.123490E-004  0.231843E-003  0.159975E-003  0.181516E-006  0.266015E-004  0.115501E-013  0.330279E-011  0.385561E-016  0.552162E-012  0.196546E-011  0.649322E-007  0.141205E-006  0.954947E-015  0.245357E-023  0.208130E-017  0.224724E-026  0.290681E-004  0.931431E-004  0.849651E-008  0.249656E-008  0.191555E-016  0.623792E-005  0.328635E-006  0.329518E-005  0.871576E-003  0.134225E-011  0.685856E-004  0.141504E-018  0.165317E-006  0.147661E-003  0.154163E-003  0.526694E-002  0.155559E-016  0.835264E-037  0.995565E-002  0.348154E-003  0.268145E-003  0.187642E-005  0.685978E-006  0.107462E-005  0.435536E-011  0.922606E-002  0.122480E-004  0.682813E-005  0.855277E-014  0.124352E-024  0.305973E-002  0.592407E-006  0.219553E-002  0.155192E-005  0.586504E-004  0.256638E-019  0.868596E-003  0.463815E-013  0.518283E-009  0.955413E-015  0.487803E-014  0.439121E-014  0.218228E-026  0.825255E-013  0.416214E-016  0.395751E-018  0.316877E-019  0.278406E-016  0.202481E-022  0.326992E-025  0.629071E-004  0.230012E-006  0.128758E-002  0.158612E-005  0.407620E-008  0.311239E-002  0.261971E-001  0.745779E-001 -0.238562E-004  0.375342       0.171509E-001 -0.100296E-002  0.384655E-001
 0.600000        7.00000       0.421981E-004  0.185067E-005  0.455881E-008  0.425459E-005  0.201621E-003  0.259948E-004  0.224869E-003  0.158902E-003  0.995514       0.387206E-002  0.103320E-003  0.502192       0.377192E-002   0.00000        0.00000        0.00000       0.995382       0.520748E-018  0.139282E-004  0.843658E-004  0.688595E-003  0.388942E-005  0.249765E-003  0.905618E-005  0.701289E-005  0.144318E-004  0.270945E-003  0.192711E-003  0.218660E-006  0.331831E-004  0.130775E-013  0.387032E-011  0.418946E-016  0.625176E-012  0.230319E-011  0.782195E-007  0.173681E-006  0.119121E-014  0.306062E-023  0.243894E-017  0.270710E-026  0.340629E-004  0.109148E-003  0.995649E-008  0.282669E-008  0.208142E-016  0.751441E-005  0.385106E-006  0.396949E-005  0.107203E-002  0.165097E-011  0.843599E-004  0.174050E-018  0.209598E-006  0.181622E-003  0.195457E-003  0.667773E-002  0.197227E-016  0.100619E-036  0.116664E-001  0.419398E-003  0.339969E-003  0.219886E-005  0.803851E-006  0.121672E-005  0.524661E-011  0.111140E-001  0.143527E-004  0.847859E-005  0.143515E-013  0.213054E-024  0.499440E-002  0.101498E-005  0.368408E-002  0.260410E-005  0.984147E-004  0.309155E-019  0.106837E-002  0.614737E-013  0.686928E-009  0.126630E-014  0.646531E-014  0.582008E-014  0.289238E-026  0.111171E-012  0.568627E-016  0.540671E-018  0.446240E-019  0.392063E-016  0.293920E-022  0.474660E-025  0.757800E-004  0.277080E-006  0.155106E-002  0.196951E-005  0.524123E-008  0.400195E-002  0.317518E-001  0.900329E-001 -0.287411E-004  0.452149       0.218329E-001 -0.127368E-002  0.489816E-001
 0.700000        8.00000       0.501870E-004  0.230507E-005  0.562433E-008  0.501879E-005  0.242699E-003  0.279625E-004  0.257891E-003  0.313946E-003  0.995281       0.394422E-002  0.141198E-003  0.502338       0.376921E-002   0.00000        0.00000        0.00000       0.995084       0.499246E-018  0.173772E-004  0.105257E-003  0.718146E-003  0.405633E-005  0.260484E-003  0.944482E-005  0.677870E-005  0.159136E-004  0.298765E-003  0.232056E-003  0.263302E-006  0.420340E-004  0.138042E-013  0.440791E-011  0.401647E-016  0.659917E-012  0.262311E-011  0.941891E-007  0.216689E-006  0.150894E-014  0.387697E-023  0.277771E-017  0.325979E-026  0.387943E-004  0.124309E-003  0.113395E-007  0.298377E-008  0.199548E-016  0.904858E-005  0.438598E-006  0.477991E-005  0.133750E-002  0.205979E-011  0.105250E-003  0.217149E-018  0.285568E-006  0.226597E-003  0.266301E-003  0.909810E-002  0.268713E-016  0.121161E-036  0.132868E-001  0.505024E-003  0.463193E-003  0.250428E-005  0.915508E-006  0.128433E-005  0.631778E-011  0.133831E-001  0.163463E-004  0.111493E-004  0.292658E-013  0.450146E-024  0.963270E-002  0.214447E-005  0.751265E-002  0.531034E-005  0.200689E-003  0.372273E-019  0.133293E-002  0.928641E-013  0.103769E-008  0.191291E-014  0.976669E-014  0.879199E-014  0.436932E-026  0.180630E-012  0.938044E-016  0.891927E-018  0.803899E-019  0.706301E-016  0.578229E-022  0.933798E-025  0.912515E-004  0.333649E-006  0.186773E-002  0.258989E-005  0.725027E-008  0.553595E-002  0.386739E-001  0.108854      -0.345908E-004  0.544462       0.296972E-001 -0.173104E-002  0.667769E-001
 0.800000        9.00000       0.629562E-004  0.316916E-005  0.754367E-008  0.611420E-005  0.304043E-003  0.336248E-004  0.289892E-003  0.587753E-003  0.994930       0.408744E-002  0.191780E-003  0.502581       0.376511E-002   0.00000        0.00000        0.00000       0.994623       0.408558E-018  0.239859E-004  0.145287E-003  0.832896E-003  0.470448E-005  0.302105E-003  0.109540E-004  0.681987E-005  0.207930E-004  0.390371E-003  0.290922E-003  0.330095E-006  0.624297E-004  0.133252E-013  0.490508E-011  0.328688E-016  0.637021E-012  0.291897E-011  0.118082E-006  0.299098E-006  0.224112E-014  0.575816E-023  0.309101E-017  0.408671E-026  0.431699E-004  0.138330E-003  0.126184E-007  0.288025E-008  0.163300E-016  0.113439E-004  0.488067E-006  0.599243E-005  0.184616E-002  0.284314E-011  0.145277E-003  0.299732E-018  0.378199E-006  0.312774E-003  0.352682E-003  0.120493E-001  0.355877E-016  0.151896E-036  0.147855E-001  0.633134E-003  0.613441E-003  0.278674E-005  0.101877E-005  0.123977E-005  0.792041E-011  0.167780E-001  0.181899E-004  0.134111E-004  0.584637E-013  0.990085E-024  0.170806E-001  0.471671E-005  0.150079E-001  0.106084E-004  0.400914E-003  0.466707E-019  0.183985E-002  0.126972E-012  0.141883E-008  0.261550E-014  0.133539E-013  0.120212E-013  0.597413E-026  0.220227E-012  0.123061E-015  0.117011E-017  0.101189E-018  0.889039E-016  0.698338E-022  0.112777E-024  0.114399E-003  0.418286E-006  0.234152E-002  0.311530E-005  0.103319E-007  0.788893E-002  0.497863E-001  0.137769      -0.433593E-004  0.682575       0.411963E-001 -0.233742E-002  0.945376E-001
 0.900000        10.0000       0.718189E-004  0.371917E-005  0.879733E-008  0.692526E-005  0.348112E-003  0.365590E-004  0.320188E-003  0.792535E-003  0.994664       0.419416E-002  0.232955E-003  0.502769       0.376210E-002   0.00000        0.00000        0.00000       0.994273       0.393620E-018  0.281837E-004  0.170714E-003  0.887347E-003  0.501204E-005  0.321856E-003  0.116701E-004  0.685853E-005  0.230931E-004  0.433554E-003  0.333229E-003  0.378099E-006  0.740499E-004  0.138207E-013  0.538953E-011  0.316670E-016  0.660710E-012  0.320726E-011  0.135254E-006  0.351444E-006  0.265826E-014  0.682993E-023  0.339629E-017  0.468102E-026  0.474336E-004  0.151992E-003  0.138647E-007  0.298735E-008  0.157329E-016  0.129936E-004  0.536270E-006  0.686388E-005  0.216926E-002  0.334073E-011  0.170702E-003  0.352189E-018  0.458316E-006  0.367513E-003  0.427394E-003  0.146018E-001  0.431265E-016  0.173986E-036  0.162457E-001  0.725207E-003  0.743392E-003  0.306197E-005  0.111939E-005  0.128588E-005  0.907223E-011  0.192179E-001  0.199865E-004  0.158428E-004  0.805886E-013  0.140003E-023  0.225855E-001  0.666965E-005  0.206874E-001  0.146230E-004  0.552634E-003  0.534578E-019  0.216185E-002  0.160194E-012  0.179006E-008  0.329983E-014  0.168479E-013  0.151665E-013  0.753722E-026  0.283869E-012  0.160124E-015  0.152252E-017  0.135792E-018  0.119306E-015  0.966513E-022  0.156085E-024  0.131036E-003  0.479116E-006  0.268204E-002  0.368017E-005  0.126391E-007  0.965057E-002  0.574909E-001  0.158268      -0.497154E-004  0.781839       0.500303E-001 -0.282937E-002  0.115703     
