|6.6.6
PT_inf_gloss55_1.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.599852E-003  0.810862E-005  0.255072E-006  0.717653E-004  0.296420E-002  0.140336E-002   0.00000        0.00000       0.993760       0.224360E-002  0.543822E-003  0.503568       0.154531E-002   0.00000        0.00000        0.00000       0.992948       0.333679E-015  0.644446E-004  0.326549E-003  0.341657E-001  0.175811E-003  0.107098E-001  0.792026E-003  0.153166E-002  0.341991E-003  0.533902E-002  0.251068E-001  0.356097E-006  0.528568E-004  0.227135E-011  0.653072E-009  0.126123E-012  0.504049E-009  0.108430E-008  0.102035E-004  0.400099E-005  0.222961E-014  0.695018E-023  0.369757E-016  0.334930E-026  0.561547E-003  0.250294E-002  0.499582E-006  0.427642E-006  0.255569E-013  0.300582E-003  0.169298E-004  0.606327E-004  0.349810E-002  0.817036E-011  0.631126E-003  0.935898E-018  0.144162E-006  0.987515E-003  0.696913E-003  0.283015E-001  0.458003E-016  0.663338E-038   0.00000        0.00000        0.00000       0.964662E-004  0.150350E-003  0.223440E-003  0.123042E-009  0.163634       0.840681E-003  0.152601E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.158740E-018  0.627666E-002  0.287646E-014  0.140454E-009  0.279124E-015  0.226753E-014  0.282339E-014  0.405484E-027  0.142974E-014  0.107519E-017  0.151702E-018  0.342597E-021  0.141321E-017  0.914870E-025  0.432286E-026  0.659100E-003  0.178627E-005  0.174093E-001  0.509189E-005  0.619889E-008  0.631552E-002  0.319384        1.07207      -0.200520E-002   6.53471       0.616476E-001 -0.690051E-002  0.311945     
 0.100000        2.00000       0.108409E-004  0.442624E-006  0.605405E-008  0.165005E-005  0.625455E-004  0.186091E-004  0.897107E-004  0.410147E-005  0.998098       0.170083E-002  0.342926E-004  0.500928       0.169017E-002   0.00000        0.00000        0.00000       0.998068       0.551773E-018  0.379919E-005  0.194342E-004  0.276128E-003  0.218504E-005  0.864286E-004  0.633162E-005  0.520525E-005  0.700416E-005  0.108433E-003  0.539011E-003  0.118887E-007  0.993183E-005  0.715029E-014  0.483526E-011  0.150754E-015  0.129087E-011  0.652668E-011  0.158808E-006  0.176502E-006  0.153804E-015  0.177727E-024  0.225374E-017  0.306870E-026  0.915733E-005  0.264814E-004  0.523478E-008  0.190498E-008  0.432358E-016  0.800296E-005  0.143143E-006  0.128278E-005  0.215130E-003  0.184215E-012  0.477442E-004  0.370137E-019  0.518986E-007  0.606240E-004  0.689664E-004  0.182074E-002  0.191625E-017  0.436710E-037  0.466663E-002  0.178997E-003  0.123284E-003  0.809547E-006  0.125968E-005  0.788613E-006  0.262265E-011  0.345105E-002  0.697889E-005  0.340318E-005  0.404784E-015  0.343021E-026  0.153406E-003  0.260567E-007  0.705182E-004  0.201594E-006  0.302113E-005  0.144099E-020  0.381751E-003  0.121932E-013  0.163630E-009  0.211433E-015  0.111674E-014  0.904076E-015  0.549050E-028  0.608885E-014  0.175361E-016  0.186885E-018  0.214992E-019  0.670063E-017  0.220896E-022  0.788239E-025  0.144131E-004  0.393888E-007  0.377083E-003  0.177792E-006  0.187652E-008  0.124317E-002  0.911659E-002  0.252772E-001 -0.354619E-005  0.140215       0.650705E-002 -0.422907E-003  0.139996E-001
 0.200000        3.00000       0.214988E-004  0.902174E-006  0.122706E-007  0.330408E-005  0.125879E-003  0.355075E-004  0.175790E-003  0.453724E-004  0.997854       0.172190E-002  0.753963E-004  0.501033       0.168969E-002   0.00000        0.00000        0.00000       0.997785       0.957241E-018  0.775137E-005  0.396509E-004  0.491935E-003  0.389275E-005  0.153977E-003  0.112801E-004  0.882461E-005  0.128772E-004  0.199355E-003  0.108514E-002  0.239346E-007  0.201670E-004  0.132740E-013  0.943279E-011  0.261535E-015  0.239640E-011  0.127325E-010  0.319714E-006  0.360112E-006  0.312305E-015  0.360883E-024  0.439667E-017  0.617795E-026  0.178644E-004  0.516608E-004  0.102122E-007  0.353646E-008  0.750075E-016  0.161117E-004  0.279247E-006  0.258251E-005  0.438922E-003  0.375848E-012  0.974110E-004  0.755180E-019  0.115949E-006  0.123689E-003  0.154080E-003  0.406778E-002  0.428117E-017  0.879192E-037  0.910382E-002  0.360359E-003  0.275433E-003  0.157929E-005  0.245742E-005  0.146400E-005  0.527996E-011  0.694769E-002  0.136147E-004  0.750236E-005  0.457497E-014  0.392900E-025  0.168011E-002  0.298457E-006  0.797015E-003  0.227846E-005  0.341456E-004  0.290102E-020  0.778874E-003  0.296876E-013  0.398401E-009  0.514789E-015  0.271899E-014  0.220121E-014  0.133681E-027  0.163114E-013  0.467533E-016  0.498258E-018  0.627661E-019  0.195622E-016  0.706176E-022  0.251990E-024  0.290167E-004  0.792980E-007  0.759149E-003  0.391946E-006  0.417242E-008  0.276418E-002  0.184579E-001  0.509926E-001 -0.714509E-005  0.282282       0.143477E-001 -0.926566E-003  0.305655E-001
 0.300000        4.00000       0.331592E-004  0.146291E-005  0.195902E-007  0.514356E-005  0.196962E-003  0.521748E-004  0.258899E-003  0.168361E-003  0.997525       0.177115E-002  0.132521E-003  0.501197       0.168902E-002   0.00000        0.00000        0.00000       0.997393       0.110500E-017  0.125984E-004  0.644451E-004  0.654666E-003  0.518047E-005  0.204912E-003  0.150115E-004  0.106097E-004  0.183708E-004  0.284403E-003  0.169879E-002  0.374696E-007  0.329573E-004  0.175128E-013  0.137753E-010  0.301906E-015  0.316167E-011  0.185939E-010  0.500513E-006  0.585295E-006  0.510376E-015  0.589762E-024  0.642071E-017  0.967159E-026  0.260884E-004  0.754433E-004  0.149134E-007  0.466578E-008  0.865859E-016  0.252228E-004  0.407801E-006  0.404292E-005  0.713386E-003  0.610871E-012  0.158323E-003  0.122740E-018  0.206800E-006  0.201034E-003  0.274809E-003  0.725507E-002  0.763567E-017  0.137637E-036  0.132948E-001  0.564142E-003  0.491247E-003  0.230633E-005  0.358872E-005  0.193151E-005  0.826577E-011  0.108766E-001  0.198823E-004  0.128884E-004  0.177813E-013  0.158541E-024  0.609144E-002  0.120432E-005  0.309772E-002  0.885559E-005  0.132712E-003  0.454155E-020  0.126591E-002  0.584225E-013  0.784017E-009  0.101306E-014  0.535073E-014  0.433179E-014  0.263072E-027  0.350324E-013  0.100964E-015  0.107599E-017  0.148739E-018  0.463573E-016  0.183637E-021  0.655285E-024  0.454257E-004  0.124141E-006  0.118845E-002  0.673328E-006  0.748249E-008  0.495706E-002  0.292856E-001  0.802186E-001 -0.111622E-004  0.441913       0.254215E-001 -0.161952E-002  0.537942E-001
 0.400000        5.00000       0.447421E-004  0.203067E-005  0.269381E-007  0.696745E-005  0.267461E-003  0.685675E-004  0.338333E-003  0.310796E-003  0.997186       0.182910E-002  0.191785E-003  0.501373       0.168833E-002   0.00000        0.00000        0.00000       0.996983       0.123261E-017  0.175154E-004  0.895972E-004  0.810978E-003  0.641738E-005  0.253838E-003  0.185957E-004  0.123069E-004  0.237900E-004  0.368298E-003  0.230801E-002  0.509067E-007  0.458982E-004  0.213123E-013  0.179027E-010  0.336769E-015  0.384760E-011  0.241652E-010  0.680003E-006  0.813728E-006  0.710779E-015  0.821336E-024  0.834454E-017  0.131400E-025  0.339053E-004  0.980483E-004  0.193819E-007  0.567803E-008  0.965844E-016  0.342681E-004  0.529990E-006  0.549277E-005  0.991811E-003  0.849286E-012  0.220115E-003  0.170644E-018  0.301637E-006  0.279495E-003  0.400836E-003  0.105822E-001  0.111373E-016  0.186996E-036  0.172784E-001  0.766451E-003  0.716530E-003  0.299737E-005  0.466400E-005  0.235056E-005  0.112300E-010  0.147771E-001  0.258396E-004  0.183706E-004  0.337965E-013  0.308360E-024  0.110752E-001  0.234238E-005  0.588776E-002  0.168316E-004  0.252243E-003  0.617021E-020  0.175998E-002  0.895539E-013  0.120179E-008  0.155289E-014  0.820197E-014  0.664006E-014  0.403254E-027  0.562425E-013  0.162368E-015  0.173038E-017  0.250952E-018  0.782138E-016  0.325054E-021  0.115992E-023  0.617160E-004  0.168660E-006  0.161464E-002  0.959738E-006  0.109325E-007  0.724267E-002  0.401214E-001  0.109320      -0.151987E-004  0.600389       0.369420E-001 -0.233608E-002  0.781110E-001
 0.500000        6.00000       0.480146E-004  0.200623E-005  0.270908E-007  0.725330E-005  0.275483E-003  0.830937E-004  0.382736E-003  0.345658E-004  0.997580       0.153818E-002  0.149410E-003  0.501110       0.148480E-002   0.00000        0.00000        0.00000       0.997448       0.221318E-017  0.172795E-004  0.883160E-004  0.124452E-002  0.978456E-005  0.389847E-003  0.285827E-004  0.227708E-004  0.326461E-004  0.504529E-003  0.237507E-002  0.519451E-007  0.465943E-004  0.295244E-013  0.206078E-010  0.604788E-015  0.534571E-011  0.279218E-010  0.699764E-006  0.802433E-006  0.728206E-015  0.849236E-024  0.932343E-017  0.127023E-025  0.386592E-004  0.112732E-003  0.223092E-007  0.786691E-008  0.173426E-015  0.351462E-004  0.611507E-006  0.565503E-005  0.976900E-003  0.845742E-012  0.215646E-003  0.169490E-018  0.217499E-006  0.275615E-003  0.294840E-003  0.783744E-002  0.830111E-017  0.175264E-036  0.199061E-001  0.787889E-003  0.529688E-003  0.345871E-005  0.538723E-005  0.326950E-005  0.115527E-010  0.152200E-001  0.298615E-004  0.142074E-004  0.338610E-014  0.287185E-025  0.128147E-002  0.231337E-006  0.607288E-003  0.173509E-005  0.260268E-004  0.643305E-020  0.173669E-002  0.488701E-013  0.669182E-009  0.870452E-015  0.462854E-014  0.377224E-014  0.232080E-027  0.220475E-013  0.652007E-016  0.723462E-018  0.741541E-019  0.240531E-016  0.706796E-022  0.262655E-024  0.634452E-004  0.173499E-006  0.166148E-002  0.736604E-006  0.827510E-008  0.551813E-002  0.404932E-001  0.111694      -0.157510E-004  0.618280       0.286939E-001 -0.184409E-002  0.619523E-001
 0.600000        7.00000       0.567006E-004  0.239102E-005  0.322296E-007  0.859754E-005  0.326991E-003  0.968510E-004  0.450529E-003  0.719480E-004  0.997380       0.155677E-002  0.182615E-003  0.501196       0.148445E-002   0.00000        0.00000        0.00000       0.997216       0.250910E-017  0.206031E-004  0.105303E-003  0.141942E-002  0.111597E-004  0.444635E-003  0.325997E-004  0.255744E-004  0.376019E-004  0.581118E-003  0.281983E-002  0.616725E-007  0.554852E-004  0.341804E-013  0.242275E-010  0.685652E-015  0.618873E-011  0.328263E-010  0.830805E-006  0.956779E-006  0.867159E-015  0.101128E-023  0.109611E-016  0.150810E-025  0.454497E-004  0.132533E-003  0.262278E-007  0.910753E-008  0.196614E-015  0.417278E-004  0.718919E-006  0.671402E-005  0.116480E-002  0.100842E-011  0.257125E-003  0.202092E-018  0.267318E-006  0.328629E-003  0.362375E-003  0.963265E-002  0.102025E-016  0.208085E-036  0.234026E-001  0.935432E-003  0.651016E-003  0.406624E-005  0.633350E-005  0.378510E-005  0.137161E-010  0.180702E-001  0.351068E-004  0.173872E-004  0.709623E-014  0.604429E-025  0.265931E-002  0.486888E-006  0.127269E-002  0.363623E-005  0.545443E-004  0.763773E-020  0.207073E-002  0.618338E-013  0.846696E-009  0.110136E-014  0.585635E-014  0.477289E-014  0.293644E-027  0.287918E-013  0.850363E-016  0.943555E-018  0.996910E-019  0.323364E-016  0.979455E-022  0.363979E-024  0.753262E-004  0.205989E-006  0.197262E-002  0.901469E-006  0.101575E-007  0.677339E-002  0.481614E-001  0.132695      -0.186942E-004  0.734062       0.351110E-001 -0.225172E-002  0.755380E-001
 0.700000        8.00000       0.664540E-004  0.288738E-005  0.385948E-007  0.101591E-004  0.387286E-003  0.110029E-003  0.516782E-003  0.191783E-003  0.997090       0.160269E-002  0.232529E-003  0.501340       0.148394E-002   0.00000        0.00000        0.00000       0.996869       0.253487E-017  0.249148E-004  0.127341E-003  0.152418E-002  0.119833E-004  0.477452E-003  0.350058E-004  0.260407E-004  0.418890E-004  0.647373E-003  0.334119E-002  0.730751E-007  0.673647E-004  0.370179E-013  0.276709E-010  0.692693E-015  0.670248E-011  0.374917E-010  0.984411E-006  0.115701E-005  0.105282E-014  0.122780E-023  0.125190E-016  0.178693E-025  0.519093E-004  0.151369E-003  0.299554E-007  0.986358E-008  0.198633E-015  0.494428E-004  0.821095E-006  0.795536E-005  0.140857E-002  0.121945E-011  0.310935E-003  0.244384E-018  0.343828E-006  0.397402E-003  0.466090E-003  0.123896E-001  0.131226E-016  0.246557E-036  0.267287E-001  0.110838E-002  0.837344E-003  0.464416E-005  0.723365E-005  0.409931E-005  0.162521E-010  0.214112E-001  0.400963E-004  0.219127E-004  0.193888E-013  0.168545E-024  0.700372E-002  0.135768E-005  0.347733E-002  0.993515E-005  0.149030E-003  0.904986E-020  0.250408E-002  0.849290E-013  0.116294E-008  0.151272E-014  0.804372E-014  0.655559E-014  0.403321E-027  0.418944E-013  0.124229E-015  0.137843E-017  0.154904E-018  0.502454E-016  0.161874E-021  0.601546E-024  0.892532E-004  0.244074E-006  0.233733E-002  0.113610E-005  0.131168E-007  0.874679E-002  0.574750E-001  0.157638      -0.221818E-004  0.869781       0.449418E-001 -0.285861E-002  0.960453E-001
 0.800000        9.00000       0.640074E-004  0.313088E-005  0.405183E-007  0.100012E-004  0.388488E-003  0.908670E-004  0.435510E-003  0.850548E-003  0.996596       0.185277E-002  0.335163E-003  0.501782       0.148922E-002   0.00000        0.00000        0.00000       0.996185       0.932036E-018  0.271369E-004  0.138731E-003  0.883038E-003  0.694035E-005  0.276559E-003  0.202724E-004  0.107900E-004  0.298202E-004  0.462208E-003  0.335608E-002  0.734349E-007  0.701000E-004  0.215772E-013  0.225374E-010  0.254723E-015  0.390864E-011  0.305244E-010  0.988798E-006  0.126106E-005  0.109801E-014  0.128181E-023  0.101986E-016  0.179490E-025  0.423423E-004  0.123355E-003  0.243990E-007  0.574849E-008  0.730523E-016  0.496606E-004  0.669448E-006  0.798482E-005  0.153520E-002  0.132966E-011  0.339963E-003  0.266253E-018  0.527123E-006  0.432881E-003  0.714880E-003  0.190016E-001  0.201346E-016  0.247746E-036  0.217864E-001  0.111252E-002  0.128434E-002  0.378312E-005  0.589018E-005  0.238881E-005  0.163168E-010  0.214965E-001  0.326525E-004  0.309641E-004  0.982507E-013  0.927572E-024  0.288078E-001  0.746624E-005  0.176087E-001  0.503691E-004  0.755297E-003  0.909471E-020  0.272750E-002  0.175314E-012  0.240105E-008  0.312362E-014  0.166105E-013  0.135389E-013  0.833458E-027  0.127117E-012  0.360868E-015  0.400562E-017  0.633222E-018  0.205556E-015  0.931191E-021  0.346090E-023  0.896337E-004  0.244807E-006  0.234645E-002  0.160605E-005  0.192387E-007  0.128322E-001  0.598119E-001  0.160433      -0.223076E-004  0.873027       0.649315E-001 -0.403673E-002  0.138516     
 0.900000        10.0000       0.924016E-004  0.445541E-005  0.560616E-007  0.145635E-004  0.552480E-003  0.137328E-003  0.638556E-003  0.935180E-003  0.995900       0.199496E-002  0.427828E-003  0.502061       0.158512E-002   0.00000        0.00000        0.00000       0.995402       0.174125E-017  0.386262E-004  0.197528E-003  0.150794E-002  0.120525E-004  0.472193E-003  0.346022E-004  0.201502E-004  0.486321E-004  0.753432E-003  0.478103E-002  0.106436E-006  0.103950E-003  0.345528E-013  0.329861E-010  0.462418E-015  0.620676E-011  0.443022E-010  0.137054E-005  0.174418E-005  0.154407E-014  0.171018E-023  0.164229E-016  0.295482E-025  0.648039E-004  0.185616E-003  0.367030E-007  0.946112E-008  0.136302E-015  0.713423E-004  0.998616E-006  0.113897E-004  0.218338E-002  0.179333E-011  0.487348E-003  0.372188E-018  0.700367E-006  0.615549E-003  0.903170E-003  0.236066E-001  0.245976E-016  0.439856E-036  0.323159E-001  0.157596E-002  0.158662E-002  0.563986E-005  0.877959E-005  0.389453E-005  0.232306E-010  0.305905E-001  0.486551E-004  0.385090E-004  0.112456E-012  0.113408E-023  0.322531E-001  0.796979E-005  0.188365E-001  0.538720E-004  0.807578E-003  0.125283E-019  0.387726E-002  0.223218E-012  0.290695E-008  0.371879E-014  0.194462E-013  0.155863E-013  0.927805E-027  0.141479E-012  0.422302E-015  0.423828E-017  0.681070E-018  0.199898E-015  0.920524E-021  0.309336E-023  0.127769E-003  0.349071E-006  0.334375E-002  0.203340E-005  0.253425E-007  0.166220E-001  0.847137E-001  0.228058      -0.318676E-004   1.24370       0.837084E-001 -0.519093E-002  0.178211     
