|6.6.6
PT_inf_gloss35_1.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.220025E-002  0.167835E-004  0.127753E-006  0.298392E-003  0.809011E-002  0.141210E-002   0.00000        0.00000       0.986785       0.236395E-002  0.636144E-003  0.504761       0.230243E-002   0.00000        0.00000        0.00000       0.985641       0.590003E-015  0.115238E-003  0.662667E-003  0.305503E-002  0.206584E-004  0.418105E-001  0.187565E-002  0.397936E-002  0.192706E-004  0.132648E-001  0.150547E-001  0.143612E-006  0.116484E-005  0.582009E-011  0.819865E-009  0.636077E-013  0.396342E-009  0.600774E-009  0.516379E-005  0.198872E-005  0.104498E-014  0.171641E-023  0.450524E-018  0.131912E-030  0.133972E-003  0.152272E-001  0.175460E-005  0.144234E-005  0.287364E-013  0.455436E-003  0.584822E-004  0.161994E-003  0.206223E-003  0.856504E-011  0.890615E-003  0.122447E-017  0.208491E-005  0.160386E-002  0.168110E-002  0.491788E-001  0.968427E-016  0.532797E-041   0.00000        0.00000        0.00000       0.845273E-005  0.187916E-003  0.588301E-003  0.622722E-011  0.449579       0.236560E-002  0.329127E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.590536E-018  0.963548E-002  0.104475E-012  0.965516E-009  0.146807E-014  0.697648E-014  0.560215E-014  0.125044E-026  0.865544E-012  0.124886E-015  0.748208E-018  0.126824E-018  0.499333E-016  0.108045E-021  0.134638E-024  0.264855E-002  0.887267E-005  0.584014E-001  0.527739E-004  0.733913E-008  0.495151E-002  0.809755        3.08847      -0.133948E-002   18.3419       0.834052E-001 -0.816554E-002  0.678226     
 0.100000        2.00000       0.779846E-005  0.315809E-006  0.151507E-008  0.816966E-006  0.397470E-004  0.635269E-005  0.505050E-004  0.843762E-005  0.997003       0.287837E-002  0.186949E-004  0.501482       0.286890E-002   0.00000        0.00000        0.00000       0.996983       0.178102E-018  0.247461E-005  0.142101E-004  0.156987E-003  0.870222E-006  0.544463E-004  0.244611E-005  0.206387E-005  0.330194E-005  0.582078E-004  0.729095E-004  0.224883E-007  0.594436E-005  0.369538E-014  0.130813E-011  0.237529E-016  0.278384E-012  0.105791E-011  0.306983E-007  0.530653E-007  0.224663E-015  0.609874E-024  0.412815E-018  0.286401E-027  0.565858E-005  0.198242E-004  0.228585E-008  0.747370E-009  0.876398E-017  0.199760E-005  0.843375E-007  0.776020E-006  0.176419E-003  0.307186E-012  0.176858E-004  0.324047E-019  0.226541E-007  0.347351E-004  0.331130E-004  0.118043E-002  0.283651E-017  0.476664E-038  0.263493E-002  0.912830E-004  0.661514E-004  0.482327E-006  0.271583E-006  0.339033E-006  0.119462E-011  0.219128E-002  0.342676E-005  0.177255E-005  0.475230E-015  0.355438E-026  0.287306E-003  0.499050E-007  0.173621E-003  0.186387E-006  0.534328E-005  0.425429E-020  0.209076E-003  0.415470E-014  0.695568E-010  0.128949E-015  0.747000E-015  0.731314E-015  0.242887E-027  0.385445E-014  0.302950E-017  0.595603E-019  0.187670E-020  0.242743E-017  0.975275E-024  0.398561E-026  0.127676E-004  0.425388E-007  0.281832E-003  0.231668E-006  0.866036E-009  0.712618E-003  0.600082E-002  0.170400E-001 -0.425484E-005  0.886623E-001  0.389251E-002 -0.231532E-003  0.851773E-002
 0.200000        3.00000       0.158459E-004  0.675334E-006  0.320073E-008  0.165799E-005  0.819468E-004  0.117831E-004  0.990881E-004  0.550153E-004  0.996839       0.290202E-002  0.439882E-004  0.501555       0.286834E-002   0.00000        0.00000        0.00000       0.996788       0.293678E-018  0.530168E-005  0.304442E-004  0.279301E-003  0.154824E-005  0.968673E-004  0.435196E-005  0.340809E-005  0.621515E-005  0.109563E-003  0.150356E-003  0.463760E-007  0.129921E-004  0.668564E-014  0.254985E-011  0.391667E-016  0.503650E-012  0.206210E-011  0.633069E-007  0.113689E-006  0.491026E-015  0.133295E-023  0.804671E-018  0.590624E-027  0.110299E-004  0.386419E-004  0.445565E-008  0.135213E-008  0.144512E-016  0.411950E-005  0.164393E-006  0.160033E-005  0.377967E-003  0.658126E-012  0.378905E-004  0.694248E-019  0.531752E-007  0.744176E-004  0.777249E-004  0.277077E-002  0.665804E-017  0.982990E-038  0.513608E-002  0.188247E-003  0.155275E-003  0.940165E-006  0.529378E-006  0.613374E-006  0.246358E-011  0.451892E-002  0.667954E-005  0.400489E-005  0.320748E-014  0.249226E-025  0.183287E-002  0.349924E-006  0.117182E-002  0.125799E-005  0.360635E-004  0.877332E-020  0.447932E-003  0.108999E-013  0.182482E-009  0.338299E-015  0.195976E-014  0.191860E-014  0.637214E-027  0.108601E-013  0.870777E-017  0.171196E-018  0.590997E-020  0.764429E-017  0.336490E-023  0.137512E-025  0.263298E-004  0.877247E-007  0.581202E-003  0.523430E-006  0.207378E-008  0.170641E-002  0.125247E-001  0.352900E-001 -0.877595E-005  0.182842       0.914048E-002 -0.541976E-003  0.199111E-001
 0.300000        4.00000       0.248863E-004  0.113360E-005  0.528210E-008  0.258234E-005  0.130493E-003  0.166047E-004  0.146151E-003  0.174240E-003  0.996605       0.295733E-002  0.816667E-004  0.501684       0.286751E-002   0.00000        0.00000        0.00000       0.996498       0.326571E-018  0.892250E-005  0.512362E-004  0.370812E-003  0.205551E-005  0.128605E-003  0.577783E-005  0.401376E-005  0.900482E-005  0.158740E-003  0.239524E-003  0.738790E-007  0.223614E-004  0.865739E-014  0.372220E-011  0.435536E-016  0.652189E-012  0.301020E-011  0.100851E-006  0.191333E-006  0.845135E-015  0.229421E-023  0.117463E-017  0.940889E-027  0.161011E-004  0.564083E-004  0.650422E-008  0.175091E-008  0.160698E-016  0.656255E-005  0.239976E-006  0.254940E-005  0.636101E-003  0.110760E-011  0.637681E-004  0.116839E-018  0.983979E-007  0.125242E-003  0.143826E-003  0.512717E-002  0.123204E-016  0.156594E-037  0.749750E-002  0.299885E-003  0.287328E-003  0.137242E-005  0.772771E-006  0.794273E-006  0.392459E-011  0.719883E-002  0.975060E-005  0.701492E-005  0.107009E-013  0.878405E-025  0.560329E-002  0.123332E-005  0.390947E-002  0.419693E-005  0.120316E-003  0.139763E-019  0.753850E-003  0.226804E-013  0.379709E-009  0.703930E-015  0.407785E-014  0.399222E-014  0.132591E-026  0.242951E-013  0.199224E-016  0.391676E-018  0.148670E-019  0.192298E-016  0.930709E-023  0.380349E-025  0.419445E-004  0.139749E-006  0.925880E-003  0.916833E-006  0.392454E-008  0.322931E-002  0.203111E-001  0.565773E-001 -0.139883E-004  0.291275       0.169588E-001 -0.998783E-003  0.370733E-001
 0.400000        5.00000       0.325730E-004  0.133640E-005  0.509089E-008  0.383999E-005  0.161918E-003  0.271287E-004  0.203070E-003  0.331213E-004  0.996619       0.290232E-002  0.747419E-004  0.501623       0.286281E-002   0.00000        0.00000        0.00000       0.996539       0.707276E-018  0.104582E-004  0.602453E-004  0.675166E-003  0.463904E-005  0.234223E-003  0.104892E-004  0.872266E-005  0.144936E-004  0.253274E-003  0.299626E-003  0.114816E-006  0.255614E-004  0.132747E-013  0.476972E-011  0.756187E-016  0.897729E-012  0.346796E-011  0.101990E-006  0.179605E-006  0.562179E-015  0.893201E-024  0.441572E-017  0.737419E-026  0.316495E-004  0.896454E-004  0.103088E-007  0.332171E-008  0.345039E-016  0.913796E-005  0.341140E-006  0.321962E-005  0.741342E-003  0.753518E-012  0.819640E-004  0.109588E-018  0.211047E-006  0.146096E-003  0.162128E-003  0.466595E-002  0.904363E-017  0.321533E-036  0.105996E-001  0.373364E-003  0.259877E-003  0.194348E-005  0.109499E-005  0.134191E-005  0.488706E-011  0.893157E-002  0.137646E-004  0.681847E-005  0.446326E-014  0.805641E-025  0.111940E-002  0.201950E-006  0.690626E-003  0.739850E-006  0.211461E-004  0.113821E-019  0.876313E-003  0.708258E-013  0.623458E-009  0.932773E-015  0.436134E-014  0.344597E-014  0.744959E-027  0.104034E-012  0.926917E-016  0.503819E-018  0.103058E-018  0.368271E-016  0.961237E-022  0.108647E-024  0.528644E-004  0.177150E-006  0.116348E-002  0.111321E-005  0.432728E-008  0.287302E-002  0.247752E-001  0.701324E-001 -0.175427E-004  0.364802       0.157108E-001 -0.924797E-003  0.345175E-001
 0.500000        6.00000       0.406914E-004  0.172769E-005  0.652933E-008  0.479692E-005  0.204342E-003  0.319185E-004  0.248341E-003  0.102075E-003  0.996439       0.293337E-002  0.102983E-003  0.501709       0.286094E-002   0.00000        0.00000        0.00000       0.996322       0.777316E-018  0.135382E-004  0.779875E-004  0.774141E-003  0.531909E-005  0.268559E-003  0.120268E-004  0.954997E-005  0.172217E-004  0.300947E-003  0.378231E-003  0.144937E-006  0.335770E-004  0.154404E-013  0.581007E-011  0.831070E-016  0.104418E-011  0.422437E-011  0.128746E-006  0.232498E-006  0.738470E-015  0.117330E-023  0.537886E-017  0.930878E-026  0.385527E-004  0.109199E-003  0.125573E-007  0.386361E-008  0.379207E-016  0.115353E-004  0.415548E-006  0.406427E-005  0.959666E-003  0.975429E-012  0.106102E-003  0.141862E-018  0.290242E-006  0.189122E-003  0.222966E-003  0.641683E-002  0.124372E-016  0.405886E-036  0.129116E-001  0.471314E-003  0.357395E-003  0.236739E-005  0.133383E-005  0.156083E-005  0.616916E-011  0.112747E-001  0.167669E-004  0.914417E-005  0.140593E-013  0.260241E-024  0.340257E-002  0.652346E-006  0.217547E-002  0.233053E-005  0.666101E-004  0.143681E-019  0.113439E-002  0.105004E-012  0.924321E-009  0.138290E-014  0.646601E-014  0.510890E-014  0.110446E-026  0.161478E-012  0.145994E-015  0.793542E-018  0.172446E-018  0.616229E-016  0.170877E-021  0.193140E-024  0.667331E-004  0.223624E-006  0.146872E-002  0.149291E-005  0.603882E-008  0.400937E-002  0.315170E-001  0.887736E-001 -0.221547E-004  0.460507       0.216192E-001 -0.127025E-002  0.473251E-001
 0.600000        7.00000       0.516793E-004  0.235640E-005  0.871814E-008  0.602240E-005  0.260082E-003  0.391101E-004  0.291861E-003  0.242167E-003  0.996172       0.300687E-002  0.141206E-003  0.501853       0.286605E-002   0.00000        0.00000        0.00000       0.995992       0.730291E-018  0.185193E-004  0.106727E-003  0.919966E-003  0.631757E-005  0.319040E-003  0.142822E-004  0.102483E-004  0.222317E-004  0.390479E-003  0.482051E-003  0.184870E-006  0.485759E-004  0.162735E-013  0.677368E-011  0.780950E-016  0.110144E-011  0.492165E-011  0.164085E-006  0.318421E-006  0.107249E-014  0.170701E-023  0.627330E-017  0.118639E-025  0.450636E-004  0.127430E-003  0.146409E-007  0.407103E-008  0.356414E-016  0.147002E-004  0.485325E-006  0.517312E-005  0.131425E-002  0.133684E-011  0.146108E-003  0.194151E-018  0.390333E-006  0.258743E-003  0.300088E-003  0.863527E-002  0.167498E-016  0.517625E-036  0.150726E-001  0.599931E-003  0.481042E-003  0.276071E-005  0.155436E-005  0.164431E-005  0.785609E-011  0.143578E-001  0.195423E-004  0.114467E-004  0.351526E-013  0.700286E-024  0.779624E-002  0.175309E-005  0.543278E-002  0.583183E-005  0.166587E-003  0.183278E-019  0.155185E-002  0.147144E-012  0.129570E-008  0.193896E-014  0.906689E-014  0.716521E-014  0.155061E-026  0.209512E-012  0.201050E-015  0.109349E-017  0.233377E-018  0.835091E-016  0.227260E-021  0.256929E-024  0.850222E-004  0.284291E-006  0.187006E-002  0.187017E-005  0.860932E-008  0.571843E-002  0.409669E-001  0.113954      -0.282388E-004  0.586203       0.301280E-001 -0.173586E-002  0.663658E-001
 0.700000        8.00000       0.575024E-004  0.260281E-005  0.969177E-008  0.674858E-005  0.294006E-003  0.399534E-004  0.333778E-003  0.340221E-003  0.995992       0.303919E-002  0.175557E-003  0.501956       0.285675E-002   0.00000        0.00000        0.00000       0.995767       0.808281E-018  0.204486E-004  0.117795E-003  0.913695E-003  0.627796E-005  0.316972E-003  0.141949E-004  0.101129E-004  0.219795E-004  0.384091E-003  0.544553E-003  0.208671E-006  0.516206E-004  0.184447E-013  0.773572E-011  0.864177E-016  0.124736E-011  0.562447E-011  0.185360E-006  0.351174E-006  0.113531E-014  0.180380E-023  0.716159E-017  0.134022E-025  0.513304E-004  0.145391E-003  0.167192E-007  0.461537E-008  0.394313E-016  0.166077E-004  0.553275E-006  0.585147E-005  0.144952E-002  0.147333E-011  0.160261E-003  0.214274E-018  0.494541E-006  0.285657E-003  0.379910E-003  0.109336E-001  0.211917E-016  0.584368E-036  0.171909E-001  0.678568E-003  0.608963E-003  0.315202E-005  0.177590E-005  0.186453E-005  0.888196E-011  0.162326E-001  0.223241E-004  0.148513E-004  0.491140E-013  0.953758E-024  0.109922E-001  0.239078E-005  0.759969E-002  0.814136E-005  0.232693E-003  0.206863E-019  0.171342E-002  0.205431E-012  0.180834E-008  0.270552E-014  0.126501E-013  0.999506E-014  0.216076E-026  0.350133E-012  0.322206E-015  0.175132E-017  0.429329E-018  0.153418E-015  0.479908E-021  0.542433E-024  0.960781E-004  0.321960E-006  0.211457E-002  0.242468E-005  0.104730E-007  0.695337E-002  0.460994E-001  0.128534      -0.318996E-004  0.663008       0.366998E-001 -0.215022E-002  0.803021E-001
 0.800000        9.00000       0.720097E-004  0.356187E-005  0.128981E-007  0.829678E-005  0.367425E-003  0.482913E-004  0.374553E-003  0.643466E-003  0.995579       0.318919E-002  0.236322E-003  0.502224       0.285312E-002   0.00000        0.00000        0.00000       0.995233       0.658555E-018  0.281021E-004  0.161884E-003  0.106101E-002  0.729017E-005  0.368078E-003  0.164836E-004  0.101800E-004  0.287351E-004  0.502145E-003  0.681106E-003  0.260998E-006  0.760725E-004  0.177632E-013  0.859410E-011  0.704097E-016  0.120127E-011  0.624858E-011  0.231842E-006  0.482612E-006  0.167308E-014  0.265823E-023  0.795626E-017  0.167629E-025  0.570262E-004  0.161524E-003  0.185744E-007  0.444486E-008  0.321270E-016  0.207723E-004  0.614668E-006  0.731880E-005  0.199205E-002  0.202477E-011  0.220244E-003  0.294473E-018  0.650217E-006  0.392573E-003  0.499501E-003  0.143754E-001  0.278626E-016  0.730905E-036  0.190985E-001  0.848727E-003  0.800658E-003  0.350178E-005  0.197296E-005  0.179565E-005  0.111092E-010  0.203032E-001  0.248012E-004  0.177713E-004  0.994286E-013  0.212151E-023  0.197659E-001  0.531799E-005  0.153851E-001  0.164817E-004  0.471073E-003  0.258736E-019  0.235473E-002  0.277096E-012  0.243919E-008  0.364934E-014  0.170631E-013  0.134819E-013  0.291455E-026  0.421356E-012  0.415793E-015  0.226001E-017  0.530047E-018  0.189410E-015  0.566843E-021  0.640694E-024  0.120171E-003  0.402695E-006  0.264482E-002  0.290141E-005  0.147658E-007  0.980348E-002  0.591846E-001  0.162290      -0.398960E-004  0.829265       0.504822E-001 -0.287925E-002  0.112341     
 0.900000        10.0000       0.819772E-004  0.416571E-005  0.149818E-007  0.941090E-005  0.419878E-003  0.527362E-004  0.413160E-003  0.868889E-003  0.995267       0.330017E-002  0.285758E-003  0.502432       0.285046E-002   0.00000        0.00000        0.00000       0.994830       0.632757E-018  0.329098E-004  0.189579E-003  0.112854E-002  0.775412E-005  0.391503E-003  0.175326E-004  0.102181E-004  0.318424E-004  0.556443E-003  0.778716E-003  0.298402E-006  0.897135E-004  0.183957E-013  0.943122E-011  0.676514E-016  0.124405E-011  0.685723E-011  0.265067E-006  0.565176E-006  0.197309E-014  0.313489E-023  0.873125E-017  0.191653E-025  0.625809E-004  0.177257E-003  0.203836E-007  0.460312E-008  0.308685E-016  0.237492E-004  0.674541E-006  0.836767E-005  0.233284E-002  0.237116E-011  0.257923E-003  0.344851E-018  0.785627E-006  0.459733E-003  0.603524E-003  0.173691E-001  0.336651E-016  0.835652E-036  0.209588E-001  0.970359E-003  0.967397E-003  0.384287E-005  0.216514E-005  0.185958E-005  0.127013E-010  0.232128E-001  0.272170E-004  0.209632E-004  0.137379E-012  0.300244E-023  0.262137E-001  0.752622E-005  0.212574E-001  0.227725E-004  0.650873E-003  0.295816E-019  0.275757E-002  0.347861E-012  0.306211E-008  0.458131E-014  0.214207E-013  0.169249E-013  0.365886E-026  0.541941E-012  0.538549E-015  0.292725E-017  0.708329E-018  0.253118E-015  0.781548E-021  0.883373E-024  0.137393E-003  0.460405E-006  0.302385E-002  0.342252E-005  0.179663E-007  0.119284E-001  0.681991E-001  0.186081      -0.455739E-004  0.948108       0.610459E-001 -0.347045E-002  0.136701     
