|6.6.6
PT_inf_gloss38_1.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
         106
n,alqt.        node#          Si,mol,pfu     Al,mol,pfu     Cr,mol,pfu     Fe,mol,pfu     Mg,mol,pfu     Ca,mol,pfu     K,mol,pfu      Na,mol,pfu     H2,mol,pfu     C,mol,pfu      S2,mol,pfu     O2,mol,pfu     y_{CO2}        y_{CH4}        y_{H2S}        y_{H2}         y_{H2O}        m_{Al+3}       m_{AlO2-}      m_{AlO2(SiO}   m_{Ca(HCO3)}   m_{Ca(HCOO)}   m_{Ca(HSiO3}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaO,aq}     m_{CaSO4,aq}   m_{CO,aq}      m_{CO3-2}      m_{Cr+2}       m_{CrOH+}      m_{Cr+3}       m_{CrOH+2}     m_{Cr(OH)2+}   m_{Cr(OH)3}    m_{Cr(OH)4-}   m_{CrO4-2}     m_{Cr2O7-2}    m_{Fecho+}     m_{Fecho0}     m_{Fe(HCOO)}   m_{Fe(HSiO3}   m_{Fe(OH)+}    m_{Fe+2}       m_{Fe+3}       m_{FeO,aq}     m_{H+}         m_{HAlO2,aq}   m_{HCO3-}      m_{HCrO4-}     m_{HFeO2-}     m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{Isobutan}   m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgO,aq}     m_{MgOH+}      m_{MgSO4,aq}   m_{Na(Ac),a}   m_{Na(Ac)2-}   m_{Na+}        m_{NaCO3-}     m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-}        m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{Si3O6,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      pH-pH_0        pH             error_pH       permittivity   I,m            ref_chg        tot_solute_m  
  0.00000        1.00000       0.237863E-002  0.180099E-004  0.105955E-006  0.317793E-003  0.848671E-002  0.135290E-002   0.00000        0.00000       0.986272       0.238233E-002  0.611794E-003  0.504809       0.235034E-002   0.00000        0.00000        0.00000       0.985097       0.482138E-015  0.121226E-003  0.717343E-003  0.158321E-002  0.989701E-005  0.442149E-001  0.176017E-002  0.362321E-002  0.962687E-005  0.136443E-001  0.109509E-001  0.992443E-007  0.578041E-006  0.568255E-011  0.711994E-009  0.444617E-013  0.315237E-009  0.461017E-009  0.417229E-005  0.176237E-005  0.129873E-014  0.270073E-023  0.894245E-019  0.577310E-032  0.700986E-004  0.165261E-001  0.167454E-005  0.129638E-005  0.211248E-013  0.386304E-003  0.599396E-004  0.170437E-003  0.114160E-003  0.115112E-010  0.818875E-003  0.140379E-017  0.194786E-005  0.162839E-002  0.162453E-002  0.508320E-001  0.125126E-015  0.240933E-042   0.00000        0.00000        0.00000       0.437148E-005  0.152149E-003  0.539667E-003  0.301905E-011  0.472122       0.232637E-002  0.324917E-003   0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000       0.927997E-018  0.967236E-002  0.872306E-013  0.850970E-009  0.142311E-014  0.692146E-014  0.582722E-014  0.197781E-026  0.868968E-012  0.876756E-016  0.617496E-018  0.748126E-019  0.416150E-016  0.535705E-022  0.702159E-025  0.301849E-002  0.107182E-004  0.639550E-001  0.656346E-004  0.670353E-008  0.475176E-002  0.855829        3.29063      -0.525644E-003   19.2409       0.839538E-001 -0.786110E-002  0.705820     
 0.100000        2.00000       0.829093E-005  0.337741E-006  0.136529E-008  0.773346E-006  0.409357E-004  0.606253E-005  0.503202E-004  0.899911E-005  0.996541       0.333939E-002  0.185942E-004  0.501713       0.332927E-002   0.00000        0.00000        0.00000       0.996521       0.159258E-018  0.258407E-005  0.152758E-004  0.159562E-003  0.754562E-006  0.568198E-004  0.226453E-005  0.192421E-005  0.318380E-005  0.585360E-004  0.519246E-004  0.279372E-007  0.596956E-005  0.380967E-014  0.115504E-011  0.193726E-016  0.243158E-012  0.856910E-012  0.259052E-007  0.495280E-007  0.345157E-015  0.143572E-023  0.222457E-018  0.961820E-028  0.516875E-005  0.204335E-004  0.206986E-008  0.661619E-009  0.701618E-017  0.159395E-005  0.855229E-007  0.801097E-006  0.191526E-003  0.492708E-012  0.155304E-004  0.396870E-019  0.152106E-007  0.347717E-004  0.292320E-004  0.120686E-002  0.392935E-017  0.114948E-038  0.262764E-002  0.887471E-004  0.639333E-004  0.490428E-006  0.217437E-006  0.319398E-006  0.112777E-011  0.225572E-002  0.333329E-005  0.171936E-005  0.321639E-015  0.170326E-026  0.299053E-003  0.518132E-007  0.192465E-003  0.163465E-006  0.548995E-005  0.768403E-020  0.206932E-003  0.203885E-014  0.457774E-010  0.101108E-015  0.649242E-015  0.721821E-015  0.428041E-027  0.180213E-014  0.986281E-018  0.367919E-019  0.405052E-021  0.119577E-017  0.139595E-024  0.968044E-027  0.142376E-004  0.501426E-007  0.301787E-003  0.261071E-006  0.748165E-009  0.700805E-003  0.621842E-002  0.177696E-001 -0.511252E-005  0.909308E-001  0.388933E-002 -0.230670E-003  0.862833E-002
 0.200000        3.00000       0.174438E-004  0.776037E-006  0.307351E-008  0.161198E-005  0.879827E-004  0.108962E-004  0.991055E-004  0.894004E-004  0.996341       0.337863E-002  0.496516E-004  0.501813       0.332846E-002   0.00000        0.00000        0.00000       0.996278       0.233003E-018  0.595623E-005  0.352104E-004  0.270627E-003  0.127978E-005  0.963698E-004  0.384078E-005  0.287055E-005  0.596160E-005  0.109607E-003  0.111639E-003  0.600658E-007  0.143245E-004  0.652572E-014  0.224941E-011  0.283432E-016  0.416514E-012  0.166880E-011  0.556969E-007  0.114161E-006  0.828233E-015  0.344514E-023  0.433226E-018  0.206794E-027  0.100660E-004  0.397935E-004  0.403099E-008  0.113331E-008  0.102650E-016  0.342704E-005  0.166553E-006  0.172238E-005  0.441463E-003  0.113568E-011  0.357972E-004  0.914775E-019  0.402569E-007  0.801480E-004  0.773665E-004  0.319412E-002  0.103996E-016  0.247141E-038  0.511723E-002  0.190809E-003  0.169208E-003  0.955091E-006  0.423450E-006  0.547108E-006  0.242473E-011  0.484986E-002  0.649146E-005  0.424462E-005  0.338806E-014  0.192347E-025  0.285336E-002  0.585120E-006  0.202738E-002  0.172190E-005  0.578298E-004  0.165209E-019  0.476973E-003  0.645025E-014  0.144825E-009  0.319871E-015  0.205399E-014  0.228361E-014  0.135418E-026  0.628835E-014  0.358279E-017  0.133651E-018  0.168950E-020  0.498764E-017  0.668568E-024  0.463630E-026  0.306114E-004  0.107808E-006  0.648851E-003  0.644513E-006  0.206139E-008  0.193090E-002  0.136589E-001  0.384942E-001 -0.109894E-004  0.195504       0.103561E-001 -0.610445E-003  0.229108E-001
 0.300000        4.00000       0.277143E-004  0.132337E-005  0.515261E-008  0.252293E-005  0.141562E-003  0.152763E-004  0.146374E-003  0.253825E-003  0.996064       0.345849E-002  0.939916E-004  0.501979       0.332729E-002   0.00000        0.00000        0.00000       0.995928       0.249387E-018  0.101849E-004  0.602084E-004  0.358351E-003  0.169462E-005  0.127608E-003  0.508576E-005  0.331758E-005  0.870876E-005  0.160115E-003  0.179708E-003  0.966893E-007  0.250540E-004  0.831080E-014  0.328217E-011  0.303362E-016  0.530449E-012  0.243500E-011  0.896565E-007  0.195210E-006  0.144861E-014  0.602567E-023  0.632133E-018  0.332881E-027  0.146875E-004  0.580638E-004  0.588173E-008  0.144332E-008  0.109869E-016  0.551658E-005  0.243022E-006  0.277256E-005  0.754885E-003  0.194197E-011  0.612117E-004  0.156423E-018  0.758548E-007  0.137050E-003  0.145779E-003  0.601857E-002  0.195956E-016  0.397828E-038  0.746669E-002  0.307149E-003  0.318834E-003  0.139360E-005  0.617868E-006  0.696767E-006  0.390314E-011  0.780693E-002  0.947188E-005  0.752917E-005  0.101725E-013  0.613474E-025  0.776561E-002  0.186619E-005  0.608711E-002  0.516993E-005  0.173631E-003  0.265940E-019  0.815605E-003  0.136990E-013  0.307579E-009  0.679342E-015  0.436226E-014  0.484992E-014  0.287601E-026  0.143878E-013  0.838476E-017  0.312782E-018  0.435698E-020  0.128624E-016  0.189989E-023  0.131752E-025  0.492758E-004  0.173541E-006  0.104447E-002  0.114325E-005  0.397298E-008  0.372149E-002  0.224250E-001  0.624030E-001 -0.176998E-004  0.314707       0.195681E-001 -0.114562E-002  0.437241E-001
 0.400000        5.00000       0.312631E-004  0.134467E-005  0.430915E-008  0.325495E-005  0.150365E-003  0.235396E-004  0.174305E-003  0.567154E-004  0.996191       0.337176E-002  0.680123E-004  0.501848       0.332268E-002   0.00000        0.00000        0.00000       0.996111       0.482772E-018  0.103037E-004  0.610378E-004  0.616229E-003  0.366293E-005  0.219361E-003  0.872385E-005  0.691853E-005  0.132200E-004  0.240818E-003  0.192262E-003  0.130249E-006  0.254001E-004  0.112729E-013  0.366369E-011  0.476182E-016  0.641350E-012  0.242704E-011  0.782432E-007  0.159946E-006  0.844284E-015  0.203063E-023  0.216708E-017  0.250739E-026  0.252537E-004  0.795708E-004  0.804789E-008  0.240072E-008  0.211363E-016  0.661549E-005  0.296100E-006  0.298789E-005  0.760814E-003  0.112928E-011  0.684731E-004  0.125184E-018  0.134992E-006  0.138183E-003  0.130769E-003  0.429855E-002  0.111316E-016  0.835578E-037  0.907971E-002  0.328262E-003  0.227099E-003  0.169252E-005  0.750443E-006  0.102573E-005  0.415898E-011  0.829109E-002  0.114725E-004  0.568281E-005  0.527940E-014  0.747885E-025  0.183126E-002  0.363931E-006  0.126642E-002  0.107226E-005  0.359431E-004  0.180130E-019  0.820325E-003  0.344077E-013  0.389606E-009  0.684860E-015  0.350050E-014  0.309755E-014  0.116268E-026  0.454186E-013  0.296765E-016  0.281572E-018  0.217300E-019  0.163026E-016  0.133524E-022  0.235619E-025  0.530106E-004  0.187653E-006  0.112157E-002  0.109205E-005  0.357354E-008  0.266343E-002  0.234275E-001  0.661883E-001 -0.189809E-004  0.337160       0.145907E-001 -0.841792E-003  0.326514E-001
 0.500000        6.00000       0.381331E-004  0.167338E-005  0.536098E-008  0.401160E-005  0.186957E-003  0.256200E-004  0.214337E-003  0.139500E-003  0.996016       0.340801E-002  0.971111E-004  0.501941       0.332071E-002   0.00000        0.00000        0.00000       0.995896       0.548072E-018  0.128260E-004  0.759793E-004  0.652058E-003  0.387590E-005  0.232115E-003  0.923107E-005  0.710180E-005  0.142098E-004  0.258847E-003  0.239088E-003  0.161972E-006  0.311879E-004  0.133875E-013  0.448510E-011  0.540591E-016  0.761656E-012  0.297119E-011  0.972995E-007  0.199099E-006  0.103666E-014  0.249333E-023  0.265294E-017  0.311807E-026  0.309156E-004  0.974108E-004  0.985225E-008  0.285105E-008  0.239952E-016  0.822671E-005  0.362486E-006  0.371560E-005  0.947054E-003  0.140572E-011  0.852347E-004  0.155828E-018  0.194408E-006  0.172009E-003  0.188326E-003  0.619053E-002  0.160312E-016  0.103908E-036  0.111154E-001  0.408211E-003  0.327056E-003  0.207199E-005  0.918694E-006  0.121814E-005  0.517191E-011  0.103104E-001  0.140447E-004  0.817594E-005  0.131077E-013  0.185869E-024  0.447589E-002  0.904465E-006  0.314425E-002  0.266219E-005  0.892393E-004  0.224001E-019  0.102113E-002  0.565490E-013  0.640316E-009  0.112557E-014  0.575306E-014  0.509081E-014  0.191086E-026  0.875506E-013  0.564276E-016  0.535387E-018  0.478023E-019  0.358629E-016  0.339826E-022  0.599666E-025  0.659215E-004  0.233356E-006  0.139473E-002  0.157115E-005  0.507643E-008  0.378356E-002  0.291947E-001  0.823699E-001 -0.236139E-004  0.419276       0.204740E-001 -0.119648E-002  0.454286E-001
 0.600000        7.00000       0.466655E-004  0.214031E-005  0.679245E-008  0.488224E-005  0.231634E-003  0.285107E-004  0.253312E-003  0.285631E-003  0.995776       0.347478E-002  0.136121E-003  0.502084       0.331820E-002   0.00000        0.00000        0.00000       0.995593       0.541110E-018  0.164317E-004  0.973394E-004  0.700375E-003  0.416310E-005  0.249315E-003  0.991509E-005  0.707116E-005  0.161169E-004  0.293588E-003  0.296327E-003  0.200750E-006  0.404284E-004  0.145660E-013  0.526425E-011  0.533724E-016  0.828706E-012  0.348734E-011  0.120594E-006  0.255071E-006  0.134381E-014  0.323207E-023  0.311381E-017  0.386456E-026  0.362862E-004  0.114333E-003  0.115638E-007  0.310203E-008  0.236904E-016  0.101963E-004  0.425456E-006  0.460515E-005  0.121330E-002  0.180091E-011  0.109197E-003  0.199636E-018  0.272161E-006  0.220366E-003  0.263646E-003  0.866644E-002  0.224428E-016  0.128785E-036  0.130464E-001  0.505940E-003  0.457862E-003  0.243193E-005  0.107829E-005  0.132537E-005  0.641011E-011  0.127788E-001  0.164845E-004  0.110731E-004  0.276990E-013  0.405999E-024  0.895710E-002  0.197565E-005  0.664441E-002  0.562571E-005  0.188580E-003  0.277629E-019  0.130820E-002  0.875315E-013  0.991136E-009  0.174225E-014  0.890508E-014  0.787999E-014  0.295780E-026  0.146356E-012  0.954442E-016  0.905578E-018  0.883539E-019  0.662861E-016  0.686362E-022  0.121117E-024  0.817037E-004  0.289223E-006  0.172864E-002  0.212790E-005  0.719081E-008  0.535946E-002  0.365828E-001  0.102489      -0.292622E-004  0.519654       0.285634E-001 -0.166814E-002  0.634702E-001
 0.700000        8.00000       0.578979E-004  0.282578E-005  0.879520E-008  0.594440E-005  0.285708E-003  0.355618E-004  0.290250E-003  0.440808E-003  0.995523       0.355603E-002  0.171186E-003  0.502234       0.331529E-002   0.00000        0.00000        0.00000       0.995271       0.512198E-018  0.217595E-004  0.128900E-003  0.859318E-003  0.510787E-005  0.305894E-003  0.121652E-004  0.794167E-005  0.214097E-004  0.390001E-003  0.365704E-003  0.247749E-006  0.569326E-004  0.151982E-013  0.600054E-011  0.505207E-016  0.864674E-012  0.397510E-011  0.148828E-006  0.337774E-006  0.189240E-014  0.455150E-023  0.354933E-017  0.476934E-026  0.413615E-004  0.130324E-003  0.131811E-007  0.323667E-008  0.224246E-016  0.125834E-004  0.484963E-006  0.568332E-005  0.160669E-002  0.238482E-011  0.144602E-003  0.264365E-018  0.334828E-006  0.291817E-003  0.324353E-003  0.106619E-001  0.276105E-016  0.158936E-036  0.148711E-001  0.624392E-003  0.563288E-003  0.277207E-005  0.122910E-005  0.138290E-005  0.791086E-011  0.157706E-001  0.187901E-004  0.126958E-004  0.446972E-013  0.702990E-024  0.133500E-001  0.342084E-005  0.107219E-001  0.907809E-005  0.304307E-003  0.342628E-019  0.173237E-002  0.106390E-012  0.120467E-008  0.211761E-014  0.108236E-013  0.957771E-014  0.359504E-026  0.155406E-012  0.107775E-015  0.102257E-017  0.926880E-019  0.695376E-016  0.668931E-022  0.118041E-024  0.100832E-003  0.356937E-006  0.213336E-002  0.243972E-005  0.940769E-008  0.701174E-002  0.459901E-001  0.127326      -0.361213E-004  0.641317       0.366952E-001 -0.209303E-002  0.826321E-001
 0.800000        9.00000       0.694928E-004  0.358657E-005  0.110168E-007  0.706052E-005  0.345613E-003  0.390002E-004  0.327293E-003  0.755076E-003  0.995134       0.371441E-002  0.232675E-003  0.502513       0.331160E-002   0.00000        0.00000        0.00000       0.994758       0.442765E-018  0.276823E-004  0.163986E-003  0.901678E-003  0.535966E-005  0.320973E-003  0.127649E-004  0.744856E-005  0.243602E-004  0.443748E-003  0.442665E-003  0.299887E-006  0.737832E-004  0.151645E-013  0.669828E-011  0.436721E-016  0.862757E-012  0.443732E-011  0.180148E-006  0.429715E-006  0.245251E-014  0.589863E-023  0.396204E-017  0.577303E-026  0.461710E-004  0.145478E-003  0.147138E-007  0.322949E-008  0.193847E-016  0.152316E-004  0.541355E-006  0.687935E-005  0.204403E-002  0.303395E-011  0.183962E-003  0.336323E-018  0.453159E-006  0.371248E-003  0.438982E-003  0.144300E-001  0.373682E-016  0.192384E-036  0.166003E-001  0.755792E-003  0.762358E-003  0.309441E-005  0.137202E-005  0.137983E-005  0.957566E-011  0.190895E-001  0.209750E-004  0.163486E-004  0.800135E-013  0.132263E-023  0.220389E-001  0.643611E-005  0.191936E-001  0.162509E-004  0.544747E-003  0.414733E-019  0.220391E-002  0.156044E-012  0.176692E-008  0.310594E-014  0.158753E-013  0.140478E-013  0.527293E-026  0.238038E-012  0.168166E-015  0.159557E-017  0.153859E-018  0.115430E-015  0.118129E-021  0.208453E-024  0.122052E-003  0.432053E-006  0.258231E-002  0.314167E-005  0.129705E-007  0.966714E-002  0.565579E-001  0.155011      -0.436945E-004  0.776279       0.498651E-001 -0.282575E-002  0.113738     
 0.900000        10.0000       0.780974E-004  0.408262E-005  0.125677E-007  0.792801E-005  0.395172E-003  0.380205E-004  0.363694E-003  0.113525E-002  0.994698       0.391361E-002  0.309824E-003  0.502863       0.332142E-002   0.00000        0.00000        0.00000       0.994172       0.393861E-018  0.315129E-004  0.186769E-003  0.831058E-003  0.493672E-005  0.295718E-003  0.117554E-004  0.630834E-005  0.232553E-004  0.426145E-003  0.506886E-003  0.343719E-006  0.798880E-004  0.153117E-013  0.735072E-011  0.388576E-016  0.871966E-012  0.486568E-011  0.206283E-006  0.489858E-006  0.266747E-014  0.642892E-023  0.434986E-017  0.661057E-026  0.508221E-004  0.159825E-003  0.161483E-007  0.325984E-008  0.172521E-016  0.174394E-004  0.595313E-006  0.786541E-005  0.232996E-002  0.346141E-011  0.211049E-003  0.383075E-018  0.615738E-006  0.422691E-003  0.597011E-003  0.196217E-001  0.508581E-016  0.220458E-036  0.182450E-001  0.864174E-003  0.103687E-002  0.339681E-005  0.150489E-005  0.139248E-005  0.109544E-010  0.218380E-001  0.230106E-004  0.223202E-004  0.123024E-012  0.202810E-023  0.325429E-001  0.985381E-005  0.294693E-001  0.250104E-004  0.837809E-003  0.475381E-019  0.250903E-002  0.241315E-012  0.273353E-008  0.480634E-014  0.245694E-013  0.217458E-013  0.817235E-026  0.459808E-012  0.310263E-015  0.294597E-017  0.338664E-018  0.254479E-015  0.310211E-021  0.547557E-024  0.139705E-003  0.493284E-006  0.295362E-002  0.429280E-005  0.168089E-007  0.125342E-001  0.650261E-001  0.177788      -0.500378E-004  0.887662       0.648077E-001 -0.373408E-002  0.148887     
